"Name","Total_Population","Male_Population","Female_Population","White_Population","Black_or_African_American_Population","American_Indian_or_Alaskan_Native","Asian","Native_Hawaiian_or_Pacific_Islander","Some_other_Race","Two_or_more_Races","White_Not_Hispanic_or_Latino","Hispanic_or_Latino","Entered_2010_or_later","Entered_2000_T_2009","Entered_1990_T_1999","Entered_before_1990","STATEFP","COUNTYFP","STATE_FIPS","Born_in_US","Year"
"Gibson County, Tennessee","49015","23278","25737","38648","9368","160","75","8","227","529","38003","987","239","189","63","172","47","053","47053","48352","2010"
"Giles County, Tennessee","29558","14483","15075","25656","3197","30","116","0","138","421","25356","492","233","118","46","162","47","055","47055","28999","2010"
"Grainger County, Tennessee","22419","11193","11226","21886","69","5","74","0","173","212","21598","461","147","83","101","122","47","057","47057","21966","2010"
"Greene County, Tennessee","68172","33451","34721","65319","1389","124","290","0","428","622","64217","1611","754","380","174","265","47","059","47059","66599","2010"
"Grundy County, Tennessee","13910","6919","6991","12034","73","75","20","0","13","1695","11922","125","17","56","15","80","47","061","47061","13742","2010"
"Hamblen County, Tennessee","61857","30195","31662","56889","2448","165","399","65","1143","748","51922","6104","2286","1890","260","277","47","063","47063","57144","2010"
"Hamilton County, Tennessee","328960","158263","170697","246301","66980","736","5796","120","4581","4446","238770","12978","6395","5435","2456","3461","47","065","47065","311213","2010"
"Hancock County, Tennessee","6782","3401","3381","6651","14","9","27","0","0","81","6648","20","0","0","27","35","47","067","47067","6720","2010"
"Hardeman County, Tennessee","27655","15047","12608","15653","11328","70","173","0","42","389","15461","373","85","129","112","132","47","069","47069","27197","2010"
"Hardin County, Tennessee","25995","12608","13387","24529","799","30","92","16","45","484","24137","467","98","65","24","161","47","071","47071","25647","2010"
"Hawkins County, Tennessee","56562","27667","28895","54683","657","244","260","21","314","383","54281","693","283","179","61","216","47","073","47073","55823","2010"
"Haywood County, Tennessee","19010","8977","10033","8845","9616","14","87","0","266","182","8527","631","73","137","83","38","47","075","47075","18679","2010"
"Henderson County, Tennessee","27518","13278","14240","24571","2164","57","28","10","185","503","24347","453","99","118","22","71","47","077","47077","27208","2010"
"Henry County, Tennessee","32042","15425","16617","28708","2629","66","44","0","66","529","28273","534","193","118","70","275","47","079","47079","31386","2010"
"Hickman County, Tennessee","24506","13039","11467","22711","1095","26","27","0","300","347","22568","423","63","116","34","213","47","081","47081","24080","2010"
"Houston County, Tennessee","8286","4182","4104","7925","133","37","0","0","0","191","7817","140","0","6","19","25","47","083","47083","8236","2010"
"Humphreys County, Tennessee","18416","8984","9432","17584","506","115","20","0","42","149","17440","236","94","23","39","99","47","085","47085","18161","2010"
"Jackson County, Tennessee","11491","5648","5843","11261","35","0","0","0","0","195","11151","110","0","14","0","78","47","087","47087","11399","2010"
"Jefferson County, Tennessee","50600","24921","25679","48372","1184","127","47","38","193","639","47212","1485","516","434","60","281","47","089","47089","49309","2010"
"Johnson County, Tennessee","18190","9688","8502","17475","383","51","35","0","85","161","17331","243","45","20","19","119","47","091","47091","17987","2010"
"Knox County, Tennessee","423748","205779","217969","367712","38071","861","7585","126","2797","6596","358211","13031","7813","5060","2739","4005","47","093","47093","404131","2010"
"Lake County, Tennessee","7827","4951","2876","5392","2195","62","18","0","55","105","5361","102","65","134","32","20","47","095","47095","7576","2010"
"Lauderdale County, Tennessee","27745","14431","13314","17429","9651","118","53","7","120","367","17071","493","214","52","34","85","47","097","47097","27360","2010"
"Lawrence County, Tennessee","41319","20167","21152","39587","684","122","151","0","304","471","39315","691","160","169","48","147","47","099","47099","40795","2010"
"Lewis County, Tennessee","12003","5908","6095","11480","140","57","6","0","223","97","11422","310","71","35","14","69","47","101","47101","11814","2010"
"Lincoln County, Tennessee","32885","15980","16905","29514","2038","66","33","13","356","865","29092","820","174","246","46","248","47","103","47103","32171","2010"
"Loudon County, Tennessee","47102","23057","24045","45076","609","87","211","0","385","734","42858","2918","1471","639","342","491","47","105","47105","44159","2010"
"McMinn County, Tennessee","52075","25192","26883","48568","2129","68","341","0","73","896","47289","1446","492","239","345","374","47","107","47107","50625","2010"
"McNairy County, Tennessee","25760","12652","13108","23756","1506","52","59","0","14","373","23430","366","64","141","15","154","47","109","47109","25386","2010"
"Macon County, Tennessee","21934","10802","11132","21295","121","84","42","0","165","227","20768","766","541","108","21","16","47","111","47111","21248","2010"
"Madison County, Tennessee","97378","46364","51014","59547","34708","198","909","80","637","1299","57416","3121","1644","1085","472","587","47","113","47113","93590","2010"
"Marion County, Tennessee","28123","13849","14274","26483","478","36","90","0","101","935","26263","347","83","121","63","282","47","115","47115","27574","2010"
"Marshall County, Tennessee","29902","14634","15268","26681","2057","31","117","0","619","397","25975","1319","420","408","48","174","47","117","47117","28852","2010"
"Maury County, Tennessee","79029","38171","40858","65852","10247","198","352","14","1252","1114","63416","3687","1442","679","498","609","47","119","47119","75801","2010"
"Meigs County, Tennessee","11581","5753","5828","11278","125","51","0","0","0","127","11143","146","103","0","0","61","47","121","47121","11417","2010"
"Monroe County, Tennessee","44015","21766","22249","41660","983","136","155","0","394","687","40754","1400","373","204","214","267","47","123","47123","42957","2010"
"Montgomery County, Tennessee","163603","80281","83322","118563","31644","1155","3575","589","2327","5750","110884","12260","4091","2609","3148","3646","47","125","47125","150109","2010"
"Moore County, Tennessee","6266","3170","3096","5904","85","19","18","0","95","145","5888","33","0","24","7","24","47","127","47127","6211","2010"
"Morgan County, Tennessee","21664","11838","9826","20520","576","27","113","0","63","365","20446","173","28","59","11","169","47","129","47129","21397","2010"
"Obion County, Tennessee","31905","15412","16493","27854","3278","60","64","0","301","348","27217","965","429","255","136","110","47","131","47131","30975","2010"
"Overton County, Tennessee","21777","10682","11095","21225","124","0","0","0","0","428","21215","41","14","0","11","76","47","133","47133","21676","2010"
"Perry County, Tennessee","7778","3948","3830","7416","190","0","0","94","22","56","7393","71","71","0","36","37","47","135","47135","7634","2010"
"Pickett County, Tennessee","5072","2683","2389","4935","0","0","0","0","0","137","4839","130","88","14","24","12","47","137","47137","4934","2010"
"Polk County, Tennessee","16690","8341","8349","16346","16","66","0","0","5","257","16180","190","119","16","0","39","47","139","47139","16516","2010"
"Putnam County, Tennessee","70570","34709","35861","66489","1390","155","844","0","824","868","63785","3580","1683","897","453","505","47","141","47141","67032","2010"
"Rhea County, Tennessee","31215","15257","15958","29519","659","81","99","0","485","372","28919","1047","212","285","128","193","47","143","47143","30397","2010"
"Roane County, Tennessee","54156","26808","27348","51487","1327","174","295","43","106","724","50896","752","312","140","172","522","47","145","47145","53010","2010"
"Robertson County, Tennessee","64347","31854","32493","57755","4790","275","101","81","489","856","54788","3601","1733","669","235","326","47","147","47147","61384","2010"
"Rutherford County, Tennessee","250517","123923","126594","201663","30567","753","7619","109","5659","4147","192498","15447","6637","5158","3698","3339","47","149","47149","231685","2010"
"Scott County, Tennessee","22171","10898","11273","21813","0","75","38","0","146","99","21752","207","12","24","0","135","47","151","47151","22000","2010"
"Sequatchie County, Tennessee","13814","6830","6984","12561","0","145","0","16","198","894","12409","365","125","9","19","69","47","153","47153","13592","2010"
"Sevier County, Tennessee","87507","42946","44561","83830","696","166","756","0","893","1166","80902","3916","2205","841","240","851","47","155","47155","83370","2010"
"Shelby County, Tennessee","922696","440331","482365","389467","474853","1592","21124","289","22038","13333","366601","47047","27966","18022","7279","7961","47","157","47157","861468","2010"
"Smith County, Tennessee","19035","9272","9763","18137","358","45","36","0","150","309","17916","371","113","172","94","38","47","159","47159","18618","2010"
"Stewart County, Tennessee","13133","6498","6635","12499","208","157","128","0","53","88","12325","227","66","71","105","139","47","161","47161","12752","2010"
"Sullivan County, Tennessee","155815","75039","80776","148814","2982","446","891","15","804","1863","147606","2174","1031","930","393","955","47","163","47163","152506","2010"
"Sumner County, Tennessee","155592","75819","79773","139608","10463","523","1619","11","1562","1806","136181","5583","2402","1597","1010","1793","47","165","47165","148790","2010"
"Tipton County, Tennessee","59689","29322","30367","46752","11249","271","370","8","319","720","45800","1218","311","458","346","499","47","167","47167","58075","2010"
"Trousdale County, Tennessee","7751","3818","3933","6814","557","40","152","0","66","122","6699","181","9","0","62","0","47","169","47169","7680","2010"
"Unicoi County, Tennessee","18257","8980","9277","17789","142","97","0","0","210","19","17345","633","297","70","59","69","47","171","47171","17762","2010"
"Union County, Tennessee","19088","9472","9616","18696","0","27","81","112","40","132","18585","198","55","13","17","175","47","173","47173","18828","2010"
"Van Buren County, Tennessee","5503","2770","2733","5272","99","0","7","0","0","125","5237","35","0","0","7","4","47","175","47175","5492","2010"
"Warren County, Tennessee","39539","19428","20111","37184","1146","24","224","0","454","507","34615","3070","905","884","179","302","47","177","47177","37269","2010"
"Washington County, Tennessee","119768","58478","61290","111271","4657","311","1358","2","287","1882","108594","3247","2018","1247","346","1135","47","179","47179","115022","2010"
"Wayne County, Tennessee","17016","9387","7629","15627","1015","16","24","0","124","210","15551","245","98","29","14","138","47","181","47181","16737","2010"
"Weakley County, Tennessee","34557","16974","17583","30817","2589","125","436","13","98","479","30419","666","190","445","78","183","47","183","47183","33661","2010"
"White County, Tennessee","25460","12490","12970","24489","394","86","79","0","83","329","24197","405","65","142","66","115","47","185","47185","25072","2010"
"Williamson County, Tennessee","174260","85039","89221","157346","7501","149","4469","99","1786","2910","152133","7338","4488","3287","1380","2787","47","187","47187","162318","2010"
"Wilson County, Tennessee","109563","53862","55701","98661","7156","133","1025","124","1020","1444","96507","3264","1543","1015","556","1208","47","189","47189","105241","2010"
