Region,State,Num_of_Stations,Data_Date,Road_Type,Milage,Units
West,Nevada,38,7/1/2021,rural,454,vehicle-miles (millions)
West,New Mexico,8,8/1/2022,rural,824,vehicle-miles (millions)
West,New Mexico,8,8/1/2021,rural,911,vehicle-miles (millions)
West,New Mexico,8,7/1/2022,rural,935,vehicle-miles (millions)
West,New Mexico,8,7/1/2021,rural,1003,vehicle-miles (millions)
West,Oregon,92,8/1/2022,rural,999,vehicle-miles (millions)
West,Oregon,92,8/1/2021,rural,1007,vehicle-miles (millions)
West,Oregon,92,7/1/2022,rural,1005,vehicle-miles (millions)
West,Oregon,92,7/1/2021,rural,1059,vehicle-miles (millions)
West,Utah,34,8/1/2022,rural,666,vehicle-miles (millions)
West,Utah,34,8/1/2021,rural,670,vehicle-miles (millions)
West,Utah,34,7/1/2022,rural,708,vehicle-miles (millions)
West,Utah,34,7/1/2021,rural,739,vehicle-miles (millions)
West,Washington,74,8/1/2022,rural,1157,vehicle-miles (millions)
West,Washington,74,8/1/2021,rural,1133,vehicle-miles (millions)
West,Washington,74,7/1/2022,rural,1132,vehicle-miles (millions)
West,Washington,74,7/1/2021,rural,1164,vehicle-miles (millions)
West,Wyoming,91,8/1/2022,rural,535,vehicle-miles (millions)
West,Wyoming,91,8/1/2021,rural,579,vehicle-miles (millions)
West,Wyoming,91,7/1/2022,rural,563,vehicle-miles (millions)
West,Wyoming,91,7/1/2021,rural,619,vehicle-miles (millions)
Northeast,Connecticut,18,8/1/2022,urban,2284,vehicle-miles (millions)
Northeast,Connecticut,18,8/1/2021,urban,2252,vehicle-miles (millions)
Northeast,Connecticut,18,7/1/2022,urban,2255,vehicle-miles (millions)
Northeast,Connecticut,18,7/1/2021,urban,2249,vehicle-miles (millions)
Northeast,Maine,22,8/1/2022,urban,290,vehicle-miles (millions)
Northeast,Maine,22,8/1/2021,urban,289,vehicle-miles (millions)
Northeast,Maine,22,7/1/2022,urban,285,vehicle-miles (millions)
Northeast,Maine,22,7/1/2021,urban,287,vehicle-miles (millions)
Northeast,Massachusetts,204,8/1/2022,urban,4130,vehicle-miles (millions)
Northeast,Massachusetts,204,8/1/2021,urban,4075,vehicle-miles (millions)
Northeast,Massachusetts,204,7/1/2022,urban,3957,vehicle-miles (millions)
Northeast,Massachusetts,204,7/1/2021,urban,3977,vehicle-miles (millions)
Northeast,New Hampshire,68,8/1/2022,urban,612,vehicle-miles (millions)
Northeast,New Hampshire,68,8/1/2021,urban,609,vehicle-miles (millions)
Northeast,New Hampshire,68,7/1/2022,urban,609,vehicle-miles (millions)
Northeast,New Hampshire,68,7/1/2021,urban,605,vehicle-miles (millions)
Northeast,New Jersey,63,8/1/2022,urban,5137,vehicle-miles (millions)
Northeast,New Jersey,63,8/1/2021,urban,5043,vehicle-miles (millions)
Northeast,New Jersey,63,7/1/2022,urban,5107,vehicle-miles (millions)
Northeast,New Jersey,63,7/1/2021,urban,5105,vehicle-miles (millions)
Northeast,New York,59,8/1/2022,urban,6118,vehicle-miles (millions)
Northeast,New York,59,8/1/2021,urban,6080,vehicle-miles (millions)
Northeast,New York,59,7/1/2022,urban,6034,vehicle-miles (millions)
Northeast,New York,59,7/1/2021,urban,6165,vehicle-miles (millions)
Northeast,Pennsylvania,35,8/1/2022,urban,4310,vehicle-miles (millions)
Northeast,Pennsylvania,35,8/1/2021,urban,4348,vehicle-miles (millions)
Northeast,Pennsylvania,35,7/1/2022,urban,4183,vehicle-miles (millions)
Northeast,Pennsylvania,35,7/1/2021,urban,4355,vehicle-miles (millions)
Northeast,Rhode Island,26,8/1/2022,urban,563,vehicle-miles (millions)
Northeast,Rhode Island,26,8/1/2021,urban,517,vehicle-miles (millions)
Northeast,Rhode Island,26,7/1/2022,urban,507,vehicle-miles (millions)
Northeast,Rhode Island,26,7/1/2021,urban,493,vehicle-miles (millions)
Northeast,Vermont,18,8/1/2022,urban,126,vehicle-miles (millions)
Northeast,Vermont,18,8/1/2021,urban,128,vehicle-miles (millions)
Northeast,Vermont,18,7/1/2022,urban,123,vehicle-miles (millions)
Northeast,Vermont,18,7/1/2021,urban,126,vehicle-miles (millions)
South Atlantic,Delaware,12,8/1/2022,urban,433,vehicle-miles (millions)
South Atlantic,Delaware,12,8/1/2021,urban,431,vehicle-miles (millions)
South Atlantic,Delaware,12,7/1/2022,urban,390,vehicle-miles (millions)
South Atlantic,Delaware,12,7/1/2021,urban,413,vehicle-miles (millions)
South Atlantic,District of Columbia,2,8/1/2022,urban,191,vehicle-miles (millions)
South Atlantic,District of Columbia,2,8/1/2021,urban,201,vehicle-miles (millions)
South Atlantic,District of Columbia,2,7/1/2022,urban,189,vehicle-miles (millions)
South Atlantic,District of Columbia,2,7/1/2021,urban,207,vehicle-miles (millions)
South Atlantic,Florida,138,8/1/2022,urban,11163,vehicle-miles (millions)
South Atlantic,Florida,138,8/1/2021,urban,10678,vehicle-miles (millions)
South Atlantic,Florida,138,7/1/2022,urban,10979,vehicle-miles (millions)
South Atlantic,Florida,138,7/1/2021,urban,11033,vehicle-miles (millions)
South Atlantic,Georgia,118,8/1/2022,urban,5912,vehicle-miles (millions)
South Atlantic,Georgia,118,8/1/2021,urban,5748,vehicle-miles (millions)
South Atlantic,Georgia,118,7/1/2022,urban,5641,vehicle-miles (millions)
South Atlantic,Georgia,118,7/1/2021,urban,5793,vehicle-miles (millions)
South Atlantic,Maryland,36,8/1/2022,urban,3322,vehicle-miles (millions)
South Atlantic,Maryland,36,8/1/2021,urban,3310,vehicle-miles (millions)
South Atlantic,Maryland,36,7/1/2022,urban,3243,vehicle-miles (millions)
South Atlantic,Maryland,36,7/1/2021,urban,3337,vehicle-miles (millions)
South Atlantic,North Carolina,42,8/1/2022,urban,4824,vehicle-miles (millions)
South Atlantic,North Carolina,42,8/1/2021,urban,4828,vehicle-miles (millions)
South Atlantic,North Carolina,42,7/1/2022,urban,4655,vehicle-miles (millions)
South Atlantic,North Carolina,42,7/1/2021,urban,4830,vehicle-miles (millions)
South Atlantic,South Carolina,47,8/1/2022,urban,2276,vehicle-miles (millions)
South Atlantic,South Carolina,47,8/1/2021,urban,2224,vehicle-miles (millions)
South Atlantic,South Carolina,47,7/1/2022,urban,2226,vehicle-miles (millions)
South Atlantic,South Carolina,47,7/1/2021,urban,2288,vehicle-miles (millions)
South Atlantic,Virginia,360,8/1/2022,urban,4020,vehicle-miles (millions)
South Atlantic,Virginia,360,8/1/2021,urban,3969,vehicle-miles (millions)
South Atlantic,Virginia,360,7/1/2022,urban,3885,vehicle-miles (millions)
South Atlantic,Virginia,360,7/1/2021,urban,4044,vehicle-miles (millions)
South Atlantic,West Virginia,9,8/1/2022,urban,598,vehicle-miles (millions)
South Atlantic,West Virginia,9,8/1/2021,urban,612,vehicle-miles (millions)
South Atlantic,West Virginia,9,7/1/2022,urban,587,vehicle-miles (millions)
South Atlantic,West Virginia,9,7/1/2021,urban,639,vehicle-miles (millions)
North Central,Illinois,53,8/1/2022,urban,5120,vehicle-miles (millions)
North Central,Illinois,53,8/1/2021,urban,5089,vehicle-miles (millions)
North Central,Illinois,53,7/1/2022,urban,4950,vehicle-miles (millions)
North Central,Illinois,53,7/1/2021,urban,5084,vehicle-miles (millions)
North Central,Indiana,36,8/1/2022,urban,2775,vehicle-miles (millions)
North Central,Indiana,36,8/1/2021,urban,2789,vehicle-miles (millions)
North Central,Indiana,36,7/1/2022,urban,2712,vehicle-miles (millions)
North Central,Indiana,36,7/1/2021,urban,2813,vehicle-miles (millions)
North Central,Iowa,32,8/1/2022,urban,952,vehicle-miles (millions)
North Central,Iowa,32,8/1/2021,urban,956,vehicle-miles (millions)
North Central,Iowa,32,7/1/2022,urban,924,vehicle-miles (millions)
North Central,Iowa,32,7/1/2021,urban,945,vehicle-miles (millions)
North Central,Kansas,16,8/1/2022,urban,952,vehicle-miles (millions)
North Central,Kansas,16,8/1/2021,urban,955,vehicle-miles (millions)
North Central,Kansas,16,7/1/2022,urban,910,vehicle-miles (millions)
North Central,Kansas,16,7/1/2021,urban,952,vehicle-miles (millions)
North Central,Michigan,44,8/1/2022,urban,5015,vehicle-miles (millions)
North Central,Michigan,44,8/1/2021,urban,4989,vehicle-miles (millions)
North Central,Michigan,44,7/1/2022,urban,4905,vehicle-miles (millions)
North Central,Michigan,44,7/1/2021,urban,4974,vehicle-miles (millions)
North Central,Minnesota,9,8/1/2022,urban,2179,vehicle-miles (millions)
North Central,Minnesota,9,8/1/2021,urban,2249,vehicle-miles (millions)
North Central,Minnesota,9,7/1/2022,urban,2207,vehicle-miles (millions)
North Central,Minnesota,9,7/1/2021,urban,2328,vehicle-miles (millions)
North Central,Missouri,63,8/1/2022,urban,2869,vehicle-miles (millions)
North Central,Missouri,63,8/1/2021,urban,2830,vehicle-miles (millions)
North Central,Missouri,63,7/1/2022,urban,2793,vehicle-miles (millions)
North Central,Missouri,63,7/1/2021,urban,2890,vehicle-miles (millions)
North Central,Nebraska,12,8/1/2022,urban,648,vehicle-miles (millions)
North Central,Nebraska,12,8/1/2021,urban,655,vehicle-miles (millions)
North Central,Nebraska,12,7/1/2022,urban,607,vehicle-miles (millions)
North Central,Nebraska,12,7/1/2021,urban,648,vehicle-miles (millions)
North Central,North Dakota,10,8/1/2022,urban,182,vehicle-miles (millions)
North Central,North Dakota,10,8/1/2021,urban,187,vehicle-miles (millions)
North Central,North Dakota,10,7/1/2022,urban,177,vehicle-miles (millions)
North Central,North Dakota,10,7/1/2021,urban,187,vehicle-miles (millions)
North Central,Ohio,92,8/1/2022,urban,5133,vehicle-miles (millions)
North Central,Ohio,92,8/1/2021,urban,5065,vehicle-miles (millions)
North Central,Ohio,92,7/1/2022,urban,4932,vehicle-miles (millions)
North Central,Ohio,92,7/1/2021,urban,5076,vehicle-miles (millions)
North Central,South Dakota,4,8/1/2022,urban,234,vehicle-miles (millions)
North Central,South Dakota,4,8/1/2021,urban,248,vehicle-miles (millions)
North Central,South Dakota,4,7/1/2022,urban,226,vehicle-miles (millions)
North Central,South Dakota,4,7/1/2021,urban,250,vehicle-miles (millions)
North Central,Wisconsin,125,8/1/2022,urban,2440,vehicle-miles (millions)
North Central,Wisconsin,125,8/1/2021,urban,2410,vehicle-miles (millions)
North Central,Wisconsin,125,7/1/2022,urban,2377,vehicle-miles (millions)
North Central,Wisconsin,125,7/1/2021,urban,2435,vehicle-miles (millions)
South Gulf,Alabama,115,8/1/2022,urban,2342,vehicle-miles (millions)
South Gulf,Alabama,115,8/1/2021,urban,2340,vehicle-miles (millions)
South Gulf,Alabama,115,7/1/2022,urban,2335,vehicle-miles (millions)
South Gulf,Alabama,115,7/1/2021,urban,2443,vehicle-miles (millions)
South Gulf,Arkansas,3,8/1/2022,urban,1237,vehicle-miles (millions)
South Gulf,Arkansas,3,8/1/2021,urban,1271,vehicle-miles (millions)
South Gulf,Arkansas,3,7/1/2022,urban,1247,vehicle-miles (millions)
South Gulf,Arkansas,3,7/1/2021,urban,1287,vehicle-miles (millions)
South Gulf,Kentucky,23,8/1/2022,urban,1642,vehicle-miles (millions)
South Gulf,Kentucky,23,8/1/2021,urban,1613,vehicle-miles (millions)
South Gulf,Kentucky,23,7/1/2022,urban,1563,vehicle-miles (millions)
South Gulf,Kentucky,23,7/1/2021,urban,1660,vehicle-miles (millions)
South Gulf,Louisiana,14,8/1/2022,urban,2096,vehicle-miles (millions)
South Gulf,Louisiana,14,8/1/2021,urban,2040,vehicle-miles (millions)
South Gulf,Louisiana,14,7/1/2022,urban,2002,vehicle-miles (millions)
South Gulf,Louisiana,14,7/1/2021,urban,2102,vehicle-miles (millions)
South Gulf,Mississippi,28,8/1/2022,urban,1120,vehicle-miles (millions)
South Gulf,Mississippi,28,8/1/2021,urban,1129,vehicle-miles (millions)
South Gulf,Mississippi,28,7/1/2022,urban,1109,vehicle-miles (millions)
South Gulf,Mississippi,28,7/1/2021,urban,1180,vehicle-miles (millions)
South Gulf,Oklahoma,34,8/1/2022,urban,1625,vehicle-miles (millions)
South Gulf,Oklahoma,34,8/1/2021,urban,1630,vehicle-miles (millions)
South Gulf,Oklahoma,34,7/1/2022,urban,1591,vehicle-miles (millions)
South Gulf,Oklahoma,34,7/1/2021,urban,1690,vehicle-miles (millions)
South Gulf,Tennessee,29,8/1/2022,urban,3649,vehicle-miles (millions)
South Gulf,Tennessee,29,8/1/2021,urban,3528,vehicle-miles (millions)
South Gulf,Tennessee,29,7/1/2022,urban,3383,vehicle-miles (millions)
South Gulf,Tennessee,29,7/1/2021,urban,3436,vehicle-miles (millions)
South Gulf,Texas,84,8/1/2022,urban,14477,vehicle-miles (millions)
South Gulf,Texas,84,8/1/2021,urban,14184,vehicle-miles (millions)
South Gulf,Texas,84,7/1/2022,urban,14231,vehicle-miles (millions)
South Gulf,Texas,84,7/1/2021,urban,14413,vehicle-miles (millions)
West,Alaska,50,8/1/2022,urban,207,vehicle-miles (millions)
West,Alaska,50,8/1/2021,urban,211,vehicle-miles (millions)
West,Alaska,50,7/1/2022,urban,201,vehicle-miles (millions)
West,Alaska,50,7/1/2021,urban,212,vehicle-miles (millions)
West,Arizona,85,8/1/2022,urban,3562,vehicle-miles (millions)
West,Arizona,85,8/1/2021,urban,3453,vehicle-miles (millions)
West,Arizona,85,7/1/2022,urban,3495,vehicle-miles (millions)
West,Arizona,85,7/1/2021,urban,3367,vehicle-miles (millions)
West,California,56,8/1/2022,urban,20513,vehicle-miles (millions)
West,California,56,8/1/2021,urban,20431,vehicle-miles (millions)
West,California,56,7/1/2022,urban,20874,vehicle-miles (millions)
West,California,56,7/1/2021,urban,21913,vehicle-miles (millions)
West,Colorado,40,8/1/2022,urban,2878,vehicle-miles (millions)
West,Colorado,40,8/1/2021,urban,2871,vehicle-miles (millions)
West,Colorado,40,7/1/2022,urban,2738,vehicle-miles (millions)
West,Colorado,40,7/1/2021,urban,2870,vehicle-miles (millions)
West,Hawaii,54,8/1/2022,urban,481,vehicle-miles (millions)
West,Hawaii,54,8/1/2021,urban,461,vehicle-miles (millions)
West,Hawaii,54,7/1/2022,urban,471,vehicle-miles (millions)
West,Hawaii,54,7/1/2021,urban,477,vehicle-miles (millions)
West,Idaho,78,8/1/2022,urban,569,vehicle-miles (millions)
West,Idaho,78,8/1/2021,urban,550,vehicle-miles (millions)
