"Name","Car_Truck_or_Van_Drove_Alone","Car_Truck_or_Van_Carpooled","Public_Transportation","Bicycle","Walked","Taxicab_Motorcycle_or_other_means","Worked_From_Home","Depart_12am_to_4_59am","Depart_5am_to_5_29am","Depart_5_30am_to_6am","Depart_6am_to_6_29am","Depart_6_30am_to_6_59am","Depart_7am_to_7_29am","Depart_7_30am_to_7_59am","Depart_8am_to_8_29am","Depart_8_30am_to_8_59am","Depart_9am_to_9_59am","Depart_10am_to_10_59am","Depart_11am_to_11_59am","Depart_12pm_to_3_59pm","Depart_4pm_to_11_59pm","No_Vehicles_Availible","Vehicle_Availible_1","Vehicles_Availible_2","Vehicles_Availible_3","Vehicles_Availible_4","Vehicles_Availible_5_or_More","Aggregate_Num_of_Vehicles_Used_in_Commuting","Travel_Time_to_Work_LT_5_Min","Travel_Time_to_Work_5_T_9_Min","Travel_Time_to_Work_10_T_14_Min","Travel_Time_to_Work_15_T_19_Min","Travel_Time_to_Work_20_T_24_Min","Travel_Time_to_Work_25_T_29_Min","Travel_Time_to_Work_30_T_34_Min","Travel_Time_to_Work_35_T_39_Min","Travel_Time_to_Work_40_T_44_Min","Travel_Time_to_Work_45_T_59_Min","Travel_Time_to_Work_60_T_89_Min","Travel_Time_to_Work_GE_90_Min","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Cumberland County, Tennessee","16983","2068","81","33","175","314","619","1170","870","973","2121","3416","2994","2488","1151","499","695","478","146","1547","1106","254","3014","8183","5696","2178","948","17890","1004","1832","3666","3232","3191","1018","2122","317","418","1534","676","644","47","035","47035","2010"
"Davidson County, Tennessee","245237","30098","6034","877","5573","3781","12850","9274","8460","13746","25605","33212","45300","37219","30346","16160","19425","8345","3555","21100","19853","8070","83904","131112","52983","17334","7343","259145","5737","21640","37302","53528","57892","24157","50656","7383","8920","15543","5370","3472","47","037","47037","2010"
"Decatur County, Tennessee","3837","472","0","0","26","12","122","236","304","558","466","440","607","746","320","39","97","41","6","211","276","220","665","1646","1071","618","249","4055","182","801","523","810","338","140","761","133","65","231","182","181","47","039","47039","2010"
"DeKalb County, Tennessee","6297","744","11","0","194","61","191","512","412","691","1129","558","1125","778","300","279","298","42","91","665","427","27","1115","3256","1836","816","260","6640","602","1006","1155","1232","681","375","683","159","86","535","541","252","47","041","47041","2010"
"Dickson County, Tennessee","17518","3642","21","0","187","166","675","1274","1201","1707","3088","2861","3374","2137","1207","401","733","317","138","1461","1635","361","3264","8817","6247","2644","876","19220","620","2369","3010","2786","1868","768","2059","441","747","3792","2556","518","47","043","47043","2010"
"Dyer County, Tennessee","13779","1180","7","0","106","80","425","507","455","953","1605","1918","2123","2529","1181","537","511","251","146","982","1454","407","2877","7149","3531","1376","237","14325","819","2255","3668","3015","2198","489","1118","192","178","781","305","134","47","045","47045","2010"
"Fayette County, Tennessee","13626","1637","18","3","273","185","523","868","665","1322","1628","1792","3013","1817","1233","486","570","185","222","968","973","185","1633","6569","5203","1876","799","14370","349","901","928","1542","1666","930","2561","837","864","3107","1876","181","47","047","47047","2010"
"Fentress County, Tennessee","5307","616","10","0","57","63","437","406","213","352","994","1005","1151","758","218","29","26","196","48","303","354","37","1027","3193","1668","398","167","5575","272","702","835","749","944","206","1143","96","215","381","296","214","47","049","47049","2010"
"Franklin County, Tennessee","13573","1969","15","144","345","78","611","893","555","912","1935","2476","2057","2128","993","518","601","370","136","1123","1427","186","2332","6135","4880","1871","971","14495","806","2024","2531","2447","2734","909","2069","432","348","870","593","361","47","051","47051","2010"
"Gibson County, Tennessee","17611","1468","14","0","291","229","401","924","695","1074","1885","3227","3785","2636","1371","597","573","254","74","1349","1169","551","3915","8841","4485","1265","957","18305","1121","2378","2482","3236","2719","1098","3421","612","628","1130","403","385","47","053","47053","2010"
"Giles County, Tennessee","10371","930","0","0","103","96","284","604","618","984","1443","1461","1545","1551","742","310","313","128","26","1051","724","94","1702","3983","3426","1521","964","10785","507","1492","1754","1524","1466","562","1502","175","348","917","903","350","47","055","47055","2010"
"Grainger County, Tennessee","7393","1003","90","0","158","51","408","468","533","760","1125","1021","1256","991","547","147","442","125","77","654","549","203","1019","3164","3099","1148","470","7845","391","407","765","764","1095","688","1247","429","285","1593","780","251","47","057","47057","2010"
"Greene County, Tennessee","23634","2897","59","11","292","233","890","1585","1180","1706","2529","3248","3832","4002","1578","773","1003","332","224","2578","2556","227","4401","11423","7182","3442","1174","24970","823","3151","3735","5766","4396","2017","3184","635","561","1498","743","617","47","059","47059","2010"
"Grundy County, Tennessee","3651","612","14","0","92","16","426","333","202","288","464","341","676","507","312","212","90","122","0","384","454","50","774","1862","1232","590","303","3925","239","655","574","509","431","177","573","124","179","519","320","85","47","061","47061","2010"
"Hamblen County, Tennessee","21417","2919","113","32","152","295","810","996","571","1167","2215","2847","3475","3676","2399","1125","801","450","341","2050","2815","364","4476","11402","6678","2053","765","22730","873","3566","4858","5765","3641","997","1871","470","338","1183","945","421","47","063","47063","2010"
"Hamilton County, Tennessee","129082","15831","1483","335","3062","1178","4443","3395","3537","6033","11946","15027","22506","23296","17310","8327","8421","4514","1860","12538","12261","3959","30691","65543","34130","14083","5503","136360","3910","15209","23661","29966","30438","11994","19583","2986","3328","5664","2235","1997","47","065","47065","2010"
"Hancock County, Tennessee","1775","235","0","0","73","0","30","127","130","66","207","175","189","265","209","73","66","25","49","314","188","24","291","803","513","350","132","1890","192","299","253","184","115","190","224","75","40","183","185","143","47","067","47067","2010"
"Hardeman County, Tennessee","7381","1051","12","6","197","216","250","846","395","597","1113","1018","1380","793","644","180","173","239","79","759","647","286","1863","3718","2074","937","217","7870","607","1097","1084","1272","919","460","664","281","308","881","934","356","47","069","47069","2010"
"Hardin County, Tennessee","8270","1012","11","0","73","98","211","665","498","808","1141","1380","988","1420","446","154","374","163","130","530","767","145","1717","3856","2486","1093","378","8735","590","1427","1607","1631","1169","702","1157","61","106","481","274","259","47","071","47071","2010"
"Hawkins County, Tennessee","19944","1784","72","18","144","57","379","974","862","1514","2428","2725","3111","2950","1454","791","775","361","231","1761","2082","356","3271","9091","6203","2404","1073","20745","893","1824","2964","3534","3904","1679","2832","707","853","1859","680","290","47","073","47073","2010"
"Haywood County, Tennessee","6363","749","6","0","30","101","102","470","377","474","832","772","1146","979","496","156","191","80","12","493","771","270","1575","2847","1800","659","200","6705","319","1405","1218","962","699","226","774","425","228","498","322","173","47","075","47075","2010"
"Henderson County, Tennessee","9853","928","22","0","34","184","427","767","464","606","1463","1356","1945","1267","908","170","325","64","81","852","753","196","1805","4885","3077","1194","291","10290","589","1267","1876","1419","1326","710","1523","446","298","900","446","221","47","077","47077","2010"
"Henry County, Tennessee","10688","1454","90","10","126","36","356","519","267","495","1274","1793","2005","2579","753","344","292","257","149","771","906","115","2625","5404","3147","1137","332","11330","967","2138","2291","2011","1853","634","1075","124","192","445","324","350","47","079","47079","2010"
"Hickman County, Tennessee","7517","1961","48","0","77","50","377","638","845","877","1371","1057","1531","815","510","246","217","75","35","962","474","135","1173","3821","2888","1168","845","8410","322","597","906","999","1085","578","857","316","395","1342","1459","797","47","081","47081","2010"
"Houston County, Tennessee","2413","332","0","0","40","44","68","225","128","286","469","425","482","174","108","23","50","97","41","127","194","59","407","1109","839","417","66","2555","217","506","263","271","289","114","214","98","81","381","290","105","47","083","47083","2010"
"Humphreys County, Tennessee","6339","948","7","0","30","48","120","587","588","679","930","766","895","846","384","200","390","81","9","442","575","153","1307","3083","1950","705","294","6750","440","934","858","1139","1209","339","841","115","199","417","620","261","47","085","47085","2010"
"Jackson County, Tennessee","3518","516","0","0","46","36","160","423","435","288","323","488","1004","358","115","102","128","29","14","264","145","115","613","1685","1214","238","411","3765","162","135","183","393","662","197","1061","150","253","648","132","140","47","087","47087","2010"
"Jefferson County, Tennessee","17724","2505","89","0","440","123","578","838","906","1319","2001","2181","2676","2856","1736","874","760","440","410","1690","2194","285","2977","8921","5832","2106","1005","18890","827","2704","2193","2742","3023","1308","2858","918","822","2284","1011","191","47","089","47089","2010"
"Johnson County, Tennessee","5322","842","18","20","95","0","186","273","233","395","668","1158","710","894","407","175","201","182","22","416","563","21","1253","3071","1291","769","78","5715","489","600","1249","637","628","269","635","162","269","603","651","105","47","091","47091","2010"
