State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Colorado,Import,Rail,million ton-miles,2012,0,1111.79144,0
Colorado,Import,Truck,million ton-miles,2012,0.21842,594.256965,0.000463
Connecticut,Domestic Only,Air (include truck-air),million ton-miles,2012,0,20.326536,24.61801
Connecticut,Domestic Only,Multiple modes & mail,million ton-miles,2012,31.867603,2422.22244,843.039069
Connecticut,Domestic Only,Pipeline,million ton-miles,2012,0.1705,2323.8352,902.7972
Connecticut,Domestic Only,Rail,million ton-miles,2012,11.7938,1142.987,2205.639146
Connecticut,Domestic Only,Truck,million ton-miles,2012,1942.274963,9271.705607,17527.40586
Connecticut,Domestic Only,Water,million ton-miles,2012,0.7676,79.1345,6.5987
Connecticut,Export,Air (include truck-air),million ton-miles,2012,0.030952,0.046136,21.937758
Connecticut,Export,Multiple modes & mail,million ton-miles,2012,0,0,174.443078
Connecticut,Export,Other and unknown,million ton-miles,2012,0.009807,0.0069,8.974846
Connecticut,Export,Pipeline,million ton-miles,2012,0,0,15.55216
Connecticut,Export,Rail,million ton-miles,2012,0,0,2067.61657
Connecticut,Export,Truck,million ton-miles,2012,0.006716,0,782.631426
Connecticut,Export,Water,million ton-miles,2012,24.84648,0,119.762509
Connecticut,Import,Air (include truck-air),million ton-miles,2012,0.021763,19.990309,0.235454
Connecticut,Import,Multiple modes & mail,million ton-miles,2012,0.0236,346.406217,1.198
Connecticut,Import,Other and unknown,million ton-miles,2012,0.007965,762.201369,0.37426
Connecticut,Import,Pipeline,million ton-miles,2012,0.0035,172.5119,0
Connecticut,Import,Rail,million ton-miles,2012,0,575.249053,16.532614
Connecticut,Import,Truck,million ton-miles,2012,111.666973,1495.427196,21.2015
Connecticut,Import,Water,million ton-miles,2012,2.428096,1469.009541,34.672112
Delaware,Domestic Only,Air (include truck-air),million ton-miles,2012,0,196.575013,10.796673
Delaware,Domestic Only,Multiple modes & mail,million ton-miles,2012,24.213948,348.832365,303.710705
Delaware,Domestic Only,Pipeline,million ton-miles,2012,0.0504,358.762,5.9473
Delaware,Domestic Only,Rail,million ton-miles,2012,0,1886.3883,596.2134
Delaware,Domestic Only,Truck,million ton-miles,2012,495.309891,3284.026809,2203.910873
Delaware,Domestic Only,Water,million ton-miles,2012,0,1170.0546,0
Delaware,Export,Air (include truck-air),million ton-miles,2012,0.000051,0.778651,4.914223
Delaware,Export,Multiple modes & mail,million ton-miles,2012,4.511765,23.704078,35.635163
Delaware,Export,Other and unknown,million ton-miles,2012,0.077,0.0064,3.694947
Delaware,Export,Rail,million ton-miles,2012,7.097056,86.099607,66.128228
Delaware,Export,Truck,million ton-miles,2012,4.786418,67.426453,296.041613
Delaware,Export,Water,million ton-miles,2012,7.651191,29.959047,37.201117
Delaware,Import,Air (include truck-air),million ton-miles,2012,0,3.797096,0.0023
Delaware,Import,Multiple modes & mail,million ton-miles,2012,0.008611,55.490292,35.837972
Delaware,Import,No domestic mode,million ton-miles,2012,0,0,0
Delaware,Import,Other and unknown,million ton-miles,2012,0.0055,0.724274,0.505503
Delaware,Import,Pipeline,million ton-miles,2012,0,128.7436,0
Delaware,Import,Rail,million ton-miles,2012,14.376347,308.021842,210.927687
Delaware,Import,Truck,million ton-miles,2012,52.225181,324.184332,50.899906
Delaware,Import,Water,million ton-miles,2012,16.596669,849.384116,199.085598
Florida,Domestic Only,Air (include truck-air),million ton-miles,2012,0.781817,78.37927,84.661341
Florida,Domestic Only,Multiple modes & mail,million ton-miles,2012,491.648077,6865.431697,5379.562248
Florida,Domestic Only,Pipeline,million ton-miles,2012,104.8413,9037.156773,0
Florida,Domestic Only,Rail,million ton-miles,2012,2069.2176,27702.5249,10190.8936
Florida,Domestic Only,Truck,million ton-miles,2012,37733.56937,42079.50065,30022.94316
Florida,Domestic Only,Water,million ton-miles,2012,2.5702,11994.3939,994.0869
Florida,Export,Air (include truck-air),million ton-miles,2012,0.650206,310.598687,47.519856
Florida,Export,Multiple modes & mail,million ton-miles,2012,68.118538,1239.29296,398.651386
Florida,Export,Other and unknown,million ton-miles,2012,3.804819,19.760039,9.817505
Florida,Export,Pipeline,million ton-miles,2012,0.9306,0,0
Florida,Export,Rail,million ton-miles,2012,16.889744,427.278773,2234.955782
Florida,Export,Truck,million ton-miles,2012,645.471241,2082.856165,3331.052356
Florida,Export,Water,million ton-miles,2012,354.23343,116.359611,318.644615
Florida,Import,Air (include truck-air),million ton-miles,2012,2.041713,60.586319,211.510615
Florida,Import,Multiple modes & mail,million ton-miles,2012,52.447009,3813.039685,2535.076211
