"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Lawrence County, Tennessee","97","110","73","36","75","95","77","88","84","117","153","230","173","80","77","8","13","0","11","15","6","8","26","17","10","14","47","099","47099","207","109","170","165","201","383","253","85","13","26","14","43","24","2010"
"Lewis County, Tennessee","53","55","38","67","45","22","48","21","52","63","56","67","163","45","48","11","10","0","0","9","0","15","0","0","0","0","47","101","47101","108","105","67","69","115","123","208","59","10","9","15","0","0","2010"
"Lincoln County, Tennessee","140","93","63","16","29","94","57","103","23","52","76","80","122","86","10","55","12","11","0","0","0","0","0","0","0","0","47","103","47103","233","79","123","160","75","156","208","65","23","0","0","0","0","2010"
"Loudon County, Tennessee","133","49","40","13","92","78","147","94","217","91","298","277","132","145","35","49","11","28","32","17","15","9","0","18","16","3","47","105","47105","182","53","170","241","308","575","277","84","39","49","24","18","19","2010"
"McMinn County, Tennessee","240","202","87","72","38","90","118","206","68","118","188","187","176","163","41","42","0","0","27","0","15","0","22","0","17","0","47","107","47107","442","159","128","324","186","375","339","83","0","27","15","22","17","2010"
"McNairy County, Tennessee","112","127","73","26","32","26","65","99","59","63","278","175","157","92","56","15","4","2","10","20","30","5","0","0","0","7","47","109","47109","239","99","58","164","122","453","249","71","6","30","35","0","7","2010"
"Macon County, Tennessee","98","93","56","0","54","90","60","68","62","40","96","89","81","146","0","27","13","2","17","0","0","29","0","0","0","0","47","111","47111","191","56","144","128","102","185","227","27","15","17","29","0","0","2010"
"Madison County, Tennessee","424","318","177","237","300","290","313","351","125","275","442","658","539","410","160","101","32","21","70","9","13","8","21","19","19","0","47","113","47113","742","414","590","664","400","1100","949","261","53","79","21","40","19","2010"
"Marion County, Tennessee","83","54","20","1","107","2","107","66","81","11","158","128","101","148","33","22","36","23","8","4","0","2","0","15","0","4","47","115","47115","137","21","109","173","92","286","249","55","59","12","2","15","4","2010"
"Marshall County, Tennessee","115","81","85","45","41","96","186","111","63","77","110","213","194","48","73","0","0","0","0","3","9","0","10","0","0","0","47","117","47117","196","130","137","297","140","323","242","73","0","3","9","10","0","2010"
"Maury County, Tennessee","127","214","74","176","99","176","175","135","207","72","208","372","424","241","153","71","32","53","15","11","66","48","0","0","0","11","47","119","47119","341","250","275","310","279","580","665","224","85","26","114","0","11","2010"
"Meigs County, Tennessee","26","42","9","26","16","37","72","0","18","31","76","70","38","93","54","19","19","15","11","0","10","0","0","0","0","0","47","121","47121","68","35","53","72","49","146","131","73","34","11","10","0","0","2010"
"Monroe County, Tennessee","155","239","93","64","68","87","167","145","160","89","160","282","223","138","29","50","27","0","0","0","21","27","0","26","0","0","47","123","47123","394","157","155","312","249","442","361","79","27","0","48","26","0","2010"
"Montgomery County, Tennessee","638","438","170","319","224","446","378","785","238","372","434","628","380","334","116","102","62","20","38","9","20","78","0","12","0","0","47","125","47125","1076","489","670","1163","610","1062","714","218","82","47","98","12","0","2010"
"Moore County, Tennessee","0","90","112","0","0","0","0","0","0","30","35","22","9","44","0","0","0","0","0","0","0","0","0","0","0","0","47","127","47127","90","112","0","0","30","57","53","0","0","0","0","0","0","2010"
"Morgan County, Tennessee","42","48","39","0","53","0","28","22","11","37","54","109","111","60","17","29","0","0","0","0","33","0","48","0","0","0","47","129","47129","90","39","53","50","48","163","171","46","0","0","33","48","0","2010"
"Obion County, Tennessee","48","56","57","1","6","59","67","141","59","59","111","66","60","130","48","19","4","13","40","0","5","4","0","3","0","0","47","131","47131","104","58","65","208","118","177","190","67","17","40","9","3","0","2010"
"Overton County, Tennessee","0","32","12","17","22","16","44","11","59","69","32","82","24","63","42","41","7","0","20","0","7","0","10","8","0","0","47","133","47133","32","29","38","55","128","114","87","83","7","20","7","18","0","2010"
"Perry County, Tennessee","11","11","0","30","59","0","30","50","0","0","24","56","27","0","25","0","4","11","0","15","0","20","0","0","0","0","47","135","47135","22","30","59","80","0","80","27","25","15","15","20","0","0","2010"
"Pickett County, Tennessee","3","28","15","3","0","0","0","0","54","0","14","0","11","0","4","26","0","0","0","0","0","0","3","0","0","0","47","137","47137","31","18","0","0","54","14","11","30","0","0","0","3","0","2010"
"Polk County, Tennessee","56","52","9","43","60","12","17","33","45","88","141","129","35","50","47","0","0","0","0","0","38","20","0","33","0","0","47","139","47139","108","52","72","50","133","270","85","47","0","0","58","33","0","2010"
"Putnam County, Tennessee","156","169","94","59","203","55","89","131","109","46","173","195","141","258","83","40","23","26","25","7","23","31","6","12","0","12","47","141","47141","325","153","258","220","155","368","399","123","49","32","54","18","12","2010"
"Rhea County, Tennessee","147","185","176","98","82","135","74","87","80","247","161","119","169","70","43","28","47","0","11","0","0","20","0","0","0","0","47","143","47143","332","274","217","161","327","280","239","71","47","11","20","0","0","2010"
"Roane County, Tennessee","149","191","61","11","116","68","104","74","119","74","111","147","301","271","99","44","38","11","7","14","67","14","0","0","0","0","47","145","47145","340","72","184","178","193","258","572","143","49","21","81","0","0","2010"
