State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Massachusetts,Gravel,million ton-miles,2012,406.321712,1605.455933,1526.265016
Massachusetts,Fuel oils,million ton-miles,2012,265.064859,1502.002062,1265.65644
Massachusetts,Mixed freight,million ton-miles,2012,191.426602,1309.246393,1201.1537
Massachusetts,Waste/scrap,million ton-miles,2012,191.116418,1280.862903,1182.197695
Massachusetts,Coal-n.e.c.,million ton-miles,2012,134.704496,1174.428155,628.983024
Massachusetts,Wood prods.,million ton-miles,2012,89.137694,1166.666101,563.0585
Massachusetts,Natural sands,million ton-miles,2012,82.3722,1065.085827,541.726163
Massachusetts,Other foodstuffs,million ton-miles,2012,77.020769,1060.103796,486.474461
Michigan,Coal-n.e.c.,million ton-miles,2012,1905.7173,36486.6739,11403.71519
Michigan,Cereal grains,million ton-miles,2012,1755.113333,16462.49649,7394.764735
Michigan,Gravel,million ton-miles,2012,1591.752044,10345.64074,6268.5264
Michigan,Gasoline,million ton-miles,2012,1476.531857,9606.17198,5393.375443
Michigan,Other foodstuffs,million ton-miles,2012,1410.228396,5502.82678,5373.187667
Michigan,Metallic ores,million ton-miles,2012,1248.817823,5344.032947,5132.865177
Michigan,Motorized vehicles,million ton-miles,2012,976.127157,5298.671724,4461.948683
Michigan,Other ag prods.,million ton-miles,2012,817.381305,5132.500554,3837.615637
Michigan,Nonmetal min. prods.,million ton-miles,2012,752.086249,4852.6807,3447.889284
Michigan,Natural sands,million ton-miles,2012,709.135026,4596.379675,3406.550953
Minnesota,Cereal grains,million ton-miles,2012,4031.0002,26918.67464,42695.2678
Minnesota,Other ag prods.,million ton-miles,2012,3440.87474,13737.91519,25821.77768
Minnesota,Animal feed,million ton-miles,2012,2108.591237,11822.08241,9861.762052
Minnesota,Other foodstuffs,million ton-miles,2012,1984.989807,7197.451722,9246.004534
Minnesota,Gravel,million ton-miles,2012,1062.0571,6918.121579,8496.915319
Minnesota,Nonmetal min. prods.,million ton-miles,2012,843.782472,5479.908652,4458.033622
Minnesota,Fertilizers,million ton-miles,2012,733.6136,5215.167175,4145.3459
Minnesota,Gasoline,million ton-miles,2012,403.6109,4419.09357,3069.92745
Minnesota,Coal-n.e.c.,million ton-miles,2012,399.536129,4138.911225,2377.5799
Minnesota,Fuel oils,million ton-miles,2012,353.384234,3566.997002,2181.19945
Mississippi,Coal-n.e.c.,million ton-miles,2012,7434.556187,41293.99502,35391.81033
Mississippi,Logs,million ton-miles,2012,2685.273803,5054.592194,3376.22434
Mississippi,Cereal grains,million ton-miles,2012,122.2098,3229.508394,2191.875509
Mississippi,Natural sands,million ton-miles,2012,122.0828,3070.410303,1865.410406
Mississippi,Animal feed,million ton-miles,2012,113.5826,2627.4323,1656.342343
Mississippi,Gravel,million ton-miles,2012,107.9408,2273.2416,1618.62384
Mississippi,Wood prods.,million ton-miles,2012,105.4656,2049.209935,1443.079166
Mississippi,Basic chemicals,million ton-miles,2012,104.4021,1787.285921,1288.248194
Mississippi,Gasoline,million ton-miles,2012,103.9685,1388.8177,1188.4314
Mississippi,Live animals/fish,million ton-miles,2012,87.3578,1242.387,1181.997064
Missouri,Gravel,million ton-miles,2012,1219.081005,52936.0046,11184.87611
Missouri,Animal feed,million ton-miles,2012,1133.808287,13661.7875,7456.6684
Missouri,Coal-n.e.c.,million ton-miles,2012,1060.253722,7673.925389,5746.9975
Missouri,Nonmetal min. prods.,million ton-miles,2012,585.806631,4411.594095,4676.1229
Missouri,Cereal grains,million ton-miles,2012,575.161506,4179.202754,3543.450095
Missouri,Mixed freight,million ton-miles,2012,479.176771,2967.878093,3086.768853
Missouri,Natural sands,million ton-miles,2012,405.640121,2680.912332,2592.572123
Missouri,Other foodstuffs,million ton-miles,2012,283.573403,2540.860892,2526.093641
Missouri,Other ag prods.,million ton-miles,2012,278.871088,2403.857205,2509.223322
Missouri,Gasoline,million ton-miles,2012,164.607753,2153.418492,2153.775891
Montana,Coal-n.e.c.,million ton-miles,2012,4921.250536,5663.822702,47125.2735
Montana,Crude petroleum,million ton-miles,2012,2339.3488,2117.7841,13379.8777
Montana,Gasoline,million ton-miles,2012,1164.8713,1721.540017,11812.93796
Montana,Fuel oils,million ton-miles,2012,656.9741,1395.5758,4768.287
Montana,Nonmetal min. prods.,million ton-miles,2012,548.5556,1310.5581,3875.3759
Montana,Gravel,million ton-miles,2012,499.4259,1219.535834,1679.1233
Montana,Logs,million ton-miles,2012,474.20685,1067.153803,1636.643464
Montana,Cereal grains,million ton-miles,2012,226.6956,940.4452,1258.8061
Montana,Fertilizers,million ton-miles,2012,188.1833,921.440714,1163.286326
