"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Maury County, Tennessee","913","907","843","611","1328","1411","2967","2241","2863","2947","5390","4680","4802","4669","2211","2566","1185","612","976","809","896","869","377","207","235","158","47","119","47119","1820","1454","2739","5208","5810","10070","9471","4777","1797","1785","1765","584","393","2020"
"Anderson County, Tennessee","724","797","452","492","1241","738","1837","1332","1779","1245","4211","3422","4432","4081","2063","1751","561","401","663","556","503","411","153","213","117","96","47","001","47001","1521","944","1979","3169","3024","7633","8513","3814","962","1219","914","366","213","2010"
"Bedford County, Tennessee","437","642","520","365","654","436","1384","902","1359","936","2632","2175","2317","2277","1101","848","271","323","254","230","252","183","180","89","29","59","47","003","47003","1079","885","1090","2286","2295","4807","4594","1949","594","484","435","269","88","2010"
"Benton County, Tennessee","160","151","145","68","219","180","330","301","318","329","1031","695","796","859","418","423","127","88","59","140","106","97","26","39","6","33","47","005","47005","311","213","399","631","647","1726","1655","841","215","199","203","65","39","2010"
"Bledsoe County, Tennessee","184","67","151","122","112","63","204","251","181","231","514","462","679","568","130","163","65","60","12","83","61","70","11","8","0","27","47","007","47007","251","273","175","455","412","976","1247","293","125","95","131","19","27","2010"
"Blount County, Tennessee","1458","1663","863","942","1906","1627","3004","2877","3408","2890","7355","6785","7848","7044","3260","2421","949","889","829","867","796","560","303","290","247","239","47","009","47009","3121","1805","3533","5881","6298","14140","14892","5681","1838","1696","1356","593","486","2010"
"Bradley County, Tennessee","1150","1109","1176","942","1684","1423","2836","2493","2798","1949","5761","5415","5589","5119","1939","1514","721","530","752","612","629","467","416","205","182","108","47","011","47011","2259","2118","3107","5329","4747","11176","10708","3453","1251","1364","1096","621","290","2010"
"Campbell County, Tennessee","407","327","367","236","436","314","1045","651","1044","810","2012","1743","1791","1714","760","491","316","183","128","379","160","190","116","81","58","47","47","013","47013","734","603","750","1696","1854","3755","3505","1251","499","507","350","197","105","2010"
"Cannon County, Tennessee","167","114","74","104","277","127","341","176","353","250","732","670","832","705","256","303","95","44","113","82","89","87","28","26","20","17","47","015","47015","281","178","404","517","603","1402","1537","559","139","195","176","54","37","2010"
"Carroll County, Tennessee","475","290","157","303","476","429","719","585","605","662","1679","1319","1592","1342","617","681","223","221","237","245","96","202","66","64","38","32","47","017","47017","765","460","905","1304","1267","2998","2934","1298","444","482","298","130","70","2010"
"Carter County, Tennessee","795","645","533","725","811","836","1313","1233","1311","1114","3285","2805","3234","2635","1262","1052","430","388","425","356","284","445","205","86","56","17","47","019","47019","1440","1258","1647","2546","2425","6090","5869","2314","818","781","729","291","73","2010"
"Cheatham County, Tennessee","494","420","244","254","531","370","850","733","1156","896","2966","2623","2891","2441","1023","859","296","236","300","215","192","146","71","88","20","37","47","021","47021","914","498","901","1583","2052","5589","5332","1882","532","515","338","159","57","2010"
"Chester County, Tennessee","287","298","161","189","335","65","411","375","418","431","974","779","855","922","349","267","132","59","97","174","110","191","44","7","20","0","47","023","47023","585","350","400","786","849","1753","1777","616","191","271","301","51","20","2010"
"Claiborne County, Tennessee","371","369","254","191","517","454","842","538","775","580","1651","1382","1493","1507","642","540","162","219","209","184","187","94","65","54","27","31","47","025","47025","740","445","971","1380","1355","3033","3000","1182","381","393","281","119","58","2010"
"Clay County, Tennessee","37","90","27","24","106","95","139","167","153","140","431","360","585","314","160","102","74","31","71","80","88","44","64","9","17","7","47","027","47027","127","51","201","306","293","791","899","262","105","151","132","73","24","2010"
"Cocke County, Tennessee","422","342","254","391","425","371","827","689","936","746","1889","1689","1729","1682","849","759","367","150","203","205","242","185","140","98","32","22","47","029","47029","764","645","796","1516","1682","3578","3411","1608","517","408","427","238","54","2010"
"Coffee County, Tennessee","773","717","449","447","659","480","1300","1145","1417","1113","3163","2454","3335","2706","1077","1065","378","287","364","327","385","207","194","74","149","88","47","031","47031","1490","896","1139","2445","2530","5617","6041","2142","665","691","592","268","237","2010"
