"Name","Male_Not_in_Labor_Force_16_T_19","Female_Not_in_Labor_Force_16_T_19","Male_Not_in_Labor_Force_20_T_21","Female_Not_in_Labor_Force_20_T_21","Male_Not_in_Labor_Force_22_T_24","Female_Not_in_Labor_Force_22_T_24","Male_Not_in_Labor_Force_25_T_29","Female_Not_in_Labor_Force_25_T_29","Male_Not_in_Labor_Force_30_T_34","Female_Not_in_Labor_Force_30_T_34","Male_Not_in_Labor_Force_35_T_44","Female_Not_in_Labor_Force_35_T_44","Male_Not_in_Labor_Force_45_T_54","Female_Not_in_Labor_Force_45_T_54","Male_Not_in_Labor_Force_55_T_59","Female_Not_in_Labor_Force_55_T_59","Male_Not_in_Labor_Force_60_T_61","Female_Not_in_Labor_Force_60_T_61","Male_Not_in_Labor_Force_62_T_64","Female_Not_in_Labor_Force_62_T_64","Male_Not_in_Labor_Force_65_T_69","Female_Not_in_Labor_Force_65_T_69","Male_Not_in_Labor_Force_70_T_74","Female_Not_in_Labor_Force_70_T_74","Male_Not_in_Labor_Force_75_or_more","Female_Not_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Not_in_Labor_Force_16_T_19","Not_in_Labor_Force_20_T_21","Not_in_Labor_Force_22_T_24","Not_in_Labor_Force_25_T_29","Not_in_Labor_Force_30_T_34","Not_in_Labor_Force_35_T_44","Not_in_Labor_Force_45_T_54","Not_in_Labor_Force_55_T_59","Not_in_Labor_Force_60_T_61","Not_in_Labor_Force_62_T_64","Not_in_Labor_Force_65_T_69","Not_in_Labor_Force_70_T_74","Not_in_Labor_Force_75_or_more","Year"
"Van Buren County, Tennessee","65","75","0","0","29","23","38","47","13","51","137","90","108","93","98","115","54","30","42","64","165","165","183","177","179","264","47","175","47175","140","0","52","85","64","227","201","213","84","106","330","360","443","2020"
"Warren County, Tennessee","628","455","362","95","168","130","94","444","283","521","391","687","489","830","405","516","252","376","352","502","728","893","636","1006","1172","1626","47","177","47177","1083","457","298","538","804","1078","1319","921","628","854","1621","1642","2798","2020"
"Wayne County, Tennessee","196","140","66","68","124","108","280","111","290","164","634","268","677","324","273","205","96","113","325","146","446","476","368","311","521","779","47","181","47181","336","134","232","391","454","902","1001","478","209","471","922","679","1300","2020"
"Weakley County, Tennessee","673","843","374","562","328","212","87","290","62","154","376","561","533","612","412","487","185","209","324","261","746","754","420","711","951","1574","47","183","47183","1516","936","540","377","216","937","1145","899","394","585","1500","1131","2525","2020"
"Williamson County, Tennessee","4052","3526","328","868","663","628","182","834","370","1596","574","4970","1369","4661","693","2742","434","1316","1049","1983","2995","3893","2589","3782","4233","6285","47","187","47187","7578","1196","1291","1016","1966","5544","6030","3435","1750","3032","6888","6371","10518","2020"
"Wilson County, Tennessee","1775","1992","269","358","541","546","261","683","403","821","725","2065","1516","2282","761","1692","841","554","1105","1594","2329","3037","1892","2404","3218","4564","47","189","47189","3767","627","1087","944","1224","2790","3798","2453","1395","2699","5366","4296","7782","2020"
"Bedford County, Tennessee","809","578","90","126","162","190","359","569","84","335","303","662","594","1084","256","684","270","233","359","522","695","673","771","1115","1088","1560","47","003","47003","1387","216","352","928","419","965","1678","940","503","881","1368","1886","2648","2020"
"Blount County, Tennessee","1985","1759","180","371","248","469","630","919","395","768","979","1669","1426","2501","971","1595","661","881","1107","1549","2844","3113","2790","3518","4241","5952","47","009","47009","3744","551","717","1549","1163","2648","3927","2566","1542","2656","5957","6308","10193","2020"
"Cannon County, Tennessee","271","183","63","28","28","32","74","167","44","109","267","243","173","220","182","278","97","97","191","217","147","399","320","259","442","607","47","015","47015","454","91","60","241","153","510","393","460","194","408","546","579","1049","2020"
"Cheatham County, Tennessee","575","470","51","110","125","148","240","326","197","319","207","471","428","784","317","782","246","185","302","457","793","736","617","796","766","1219","47","021","47021","1045","161","273","566","516","678","1212","1099","431","759","1529","1413","1985","2020"
"Clay County, Tennessee","63","132","20","46","0","18","53","33","7","40","188","103","123","272","137","177","55","45","132","116","150","257","223","204","332","423","47","027","47027","195","66","18","86","47","291","395","314","100","248","407","427","755","2020"
"Crockett County, Tennessee","185","229","45","69","62","54","72","68","31","89","73","176","276","241","152","220","118","122","98","104","269","389","273","251","419","695","47","033","47033","414","114","116","140","120","249","517","372","240","202","658","524","1114","2020"
"Decatur County, Tennessee","118","218","28","14","0","65","30","66","10","131","127","139","84","286","172","153","77","81","196","222","268","337","323","399","447","704","47","039","47039","336","42","65","96","141","266","370","325","158","418","605","722","1151","2020"
"Jackson County, Tennessee","116","178","36","24","6","54","34","112","98","86","170","225","284","296","130","250","151","104","154","113","429","428","276","286","417","415","47","087","47087","294","60","60","146","184","395","580","380","255","267","857","562","832","2020"
"Knox County, Tennessee","7902","7049","2881","3156","2169","2173","2104","3101","1391","3331","2580","6735","3514","7317","2735","4564","1539","2555","3406","4814","6544","9409","6853","8886","10757","17227","47","093","47093","14951","6037","4342","5205","4722","9315","10831","7299","4094","8220","15953","15739","27984","2020"
"Lawrence County, Tennessee","704","505","136","239","55","282","363","366","161","433","405","692","737","970","587","760","103","370","478","587","825","870","752","1037","1264","1870","47","099","47099","1209","375","337","729","594","1097","1707","1347","473","1065","1695","1789","3134","2020"
"Loudon County, Tennessee","706","604","223","72","97","102","97","348","242","199","294","723","412","852","419","697","298","455","590","789","1554","1728","1411","1759","2400","2987","47","105","47105","1310","295","199","445","441","1017","1264","1116","753","1379","3282","3170","5387","2020"
"Macon County, Tennessee","292","335","73","13","13","140","103","190","92","309","188","394","503","464","218","295","261","115","143","358","295","440","356","479","522","830","47","111","47111","627","86","153","293","401","582","967","513","376","501","735","835","1352","2020"
"Marshall County, Tennessee","648","427","87","38","72","167","72","359","70","253","351","437","447","642","223","443","254","313","303","351","624","950","501","559","790","1053","47","117","47117","1075","125","239","431","323","788","1089","666","567","654","1574","1060","1843","2020"
"Monroe County, Tennessee","676","583","75","178","94","236","221","364","220","294","511","629","756","987","756","1088","282","359","655","758","1163","1179","1163","1444","1591","2092","47","123","47123","1259","253","330","585","514","1140","1743","1844","641","1413","2342","2607","3683","2020"
"Morgan County, Tennessee","286","256","45","51","262","90","488","221","597","98","932","379","604","662","398","338","158","158","367","377","519","518","377","501","655","813","47","129","47129","542","96","352","709","695","1311","1266","736","316","744","1037","878","1468","2020"
"Perry County, Tennessee","169","96","8","17","71","34","112","58","11","98","158","143","88","232","84","139","63","48","80","65","180","193","234","200","269","378","47","135","47135","265","25","105","170","109","301","320","223","111","145","373","434","647","2020"
"Putnam County, Tennessee","1637","1104","954","576","411","342","247","553","252","1045","746","1019","440","1143","478","811","385","450","663","915","1582","1896","1317","1692","2024","3105","47","141","47141","2741","1530","753","800","1297","1765","1583","1289","835","1578","3478","3009","5129","2020"
"Robertson County, Tennessee","1013","987","178","201","248","277","363","375","190","465","469","925","482","1317","518","942","239","330","587","844","1099","1247","1009","1263","1665","2199","47","147","47147","2000","379","525","738","655","1394","1799","1460","569","1431","2346","2272","3864","2020"
"Sevier County, Tennessee","1083","896","271","316","176","171","365","655","347","952","879","1042","1374","1961","1009","1205","229","857","1015","1082","1742","2220","1780","2427","2995","3754","47","155","47155","1979","587","347","1020","1299","1921","3335","2214","1086","2097","3962","4207","6749","2020"
"Stewart County, Tennessee","166","273","18","51","37","12","137","97","57","137","166","177","171","322","47","185","76","95","184","173","424","408","276","284","432","630","47","161","47161","439","69","49","234","194","343","493","232","171","357","832","560","1062","2020"
"Tipton County, Tennessee","1422","1290","188","294","133","269","368","366","363","611","365","1090","508","870","660","1031","167","475","402","505","1100","1334","915","1239","1226","1979","47","167","47167","2712","482","402","734","974","1455","1378","1691","642","907","2434","2154","3205","2020"
"Union County, Tennessee","315","232","38","97","47","45","24","258","54","147","214","391","332","470","304","415","168","228","292","394","470","394","467","566","549","685","47","173","47173","547","135","92","282","201","605","802","719","396","686","864","1033","1234","2020"
"Washington County, Tennessee","2049","2039","727","983","864","653","802","1215","415","852","539","2007","1681","2045","1215","1364","521","855","1188","1950","2556","2427","2420","3061","3801","5377","47","179","47179","4088","1710","1517","2017","1267","2546","3726","2579","1376","3138","4983","5481","9178","2020"
"White County, Tennessee","269","512","91","94","43","169","172","218","103","193","347","489","312","534","342","425","43","113","601","411","676","599","575","737","872","1343","47","185","47185","781","185","212","390","296","836","846","767","156","1012","1275","1312","2215","2020"
"Anderson County, Tennessee","1115","1012","113","123","172","243","266","596","190","472","843","1298","995","1978","753","1502","471","464","811","1222","1657","2149","1610","1583","2365","3744","47","001","47001","2127","236","415","862","662","2141","2973","2255","935","2033","3806","3193","6109","2020"
"Benton County, Tennessee","280","167","98","30","36","26","52","64","108","186","156","331","315","570","184","394","81","81","280","320","481","511","384","462","635","889","47","005","47005","447","128","62","116","294","487","885","578","162","600","992","846","1524","2020"
"Bledsoe County, Tennessee","160","138","58","45","34","55","224","161","175","133","522","376","472","313","368","380","126","139","100","181","347","375","327","270","470","510","47","007","47007","298","103","89","385","308","898","785","748","265","281","722","597","980","2020"
"Bradley County, Tennessee","1589","1682","534","561","236","370","603","856","423","653","739","1910","1222","2062","917","1204","474","778","846","959","1821","2335","1630","2164","2759","4132","47","011","47011","3271","1095","606","1459","1076","2649","3284","2121","1252","1805","4156","3794","6891","2020"
"Campbell County, Tennessee","414","313","80","74","117","231","138","500","161","341","339","624","804","957","515","779","319","261","478","516","1035","1074","686","859","1497","1871","47","013","47013","727","154","348","638","502","963","1761","1294","580","994","2109","1545","3368","2020"
"Carroll County, Tennessee","473","317","147","189","103","173","282","165","104","160","276","425","400","635","245","454","151","109","312","439","712","576","477","877","815","1373","47","017","47017","790","336","276","447","264","701","1035","699","260","751","1288","1354","2188","2020"
"Carter County, Tennessee","717","685","174","231","122","242","343","551","363","398","920","1154","899","1489","1066","889","239","498","628","662","1233","1674","1230","1321","2040","2943","47","019","47019","1402","405","364","894","761","2074","2388","1955","737","1290","2907","2551","4983","2020"
"Chester County, Tennessee","480","612","215","247","157","58","128","231","28","19","142","244","371","392","107","166","77","87","215","192","288","306","468","416","453","760","47","023","47023","1092","462","215","359","47","386","763","273","164","407","594","884","1213","2020"
"Claiborne County, Tennessee","467","432","104","241","256","299","285","386","153","236","388","543","466","754","355","719","337","274","283","488","856","1012","565","645","995","1372","47","025","47025","899","345","555","671","389","931","1220","1074","611","771","1868","1210","2367","2020"
"Cocke County, Tennessee","454","393","65","12","152","281","232","292","90","303","326","593","777","793","425","690","302","271","503","596","1155","875","828","939","1205","1572","47","029","47029","847","77","433","524","393","919","1570","1115","573","1099","2030","1767","2777","2020"
"Coffee County, Tennessee","886","731","124","154","185","99","199","393","222","406","332","911","721","914","508","699","163","175","532","702","1007","1332","862","1178","1501","2366","47","031","47031","1617","278","284","592","628","1243","1635","1207","338","1234","2339","2040","3867","2020"
"Cumberland County, Tennessee","632","729","124","202","108","155","261","411","223","323","346","844","475","1476","617","1087","200","461","827","1290","1955","2690","2388","2414","3417","3917","47","035","47035","1361","326","263","672","546","1190","1951","1704","661","2117","4645","4802","7334","2020"
"Davidson County, Tennessee","8692","8692","2367","2803","2115","2724","2794","5578","2014","5296","4885","8707","4498","8515","3977","6686","2126","3089","3783","4491","7504","10580","6890","9338","10576","19095","47","037","47037","17384","5170","4839","8372","7310","13592","13013","10663","5215","8274","18084","16228","29671","2020"
"DeKalb County, Tennessee","349","193","120","145","45","98","57","167","99","308","267","397","354","399","187","355","228","242","259","299","431","507","385","354","573","887","47","041","47041","542","265","143","224","407","664","753","542","470","558","938","739","1460","2020"
"Dickson County, Tennessee","976","544","201","228","36","373","209","411","354","442","479","843","555","1056","508","697","332","438","477","659","869","1177","913","1079","1273","1822","47","043","47043","1520","429","409","620","796","1322","1611","1205","770","1136","2046","1992","3095","2020"
"Dyer County, Tennessee","549","217","52","64","305","78","221","348","174","398","285","512","278","742","333","609","127","421","310","340","685","843","696","802","1021","1421","47","045","47045","766","116","383","569","572","797","1020","942","548","650","1528","1498","2442","2020"
"Fayette County, Tennessee","790","457","153","80","92","208","170","174","252","334","364","598","333","1028","258","582","269","326","420","652","861","1282","1020","1029","1191","1819","47","047","47047","1247","233","300","344","586","962","1361","840","595","1072","2143","2049","3010","2020"
"Fentress County, Tennessee","205","234","5","90","55","102","95","120","23","140","104","229","437","532","331","357","105","106","312","392","615","616","403","469","625","822","47","049","47049","439","95","157","215","163","333","969","688","211","704","1231","872","1447","2020"
"Franklin County, Tennessee","849","653","241","349","239","288","199","330","133","285","428","496","413","999","383","729","268","292","290","557","1017","1118","714","1011","1349","1893","47","051","47051","1502","590","527","529","418","924","1412","1112","560","847","2135","1725","3242","2020"
"Gibson County, Tennessee","800","705","254","171","136","216","330","345","368","495","315","799","653","950","561","991","185","309","318","526","1011","951","874","1186","1313","2344","47","053","47053","1505","425","352","675","863","1114","1603","1552","494","844","1962","2060","3657","2020"
"Giles County, Tennessee","453","503","140","86","93","125","142","305","126","209","112","465","334","570","449","457","114","164","343","480","675","817","600","574","934","1384","47","055","47055","956","226","218","447","335","577","904","906","278","823","1492","1174","2318","2020"
