"Name","Male_Employed_16_T_19","Female_Employed_16_T_19","Male_Employed_20_T_21","Female_Employed_20_T_21","Male_Employed_22_T_24","Female_Employed_22_T_24","Male_Employed_25_T_29","Female_Employed_25_T_29","Male_Employed_30_T_34","Female_Employed_30_T_34","Male_Employed_35_T_44","Female_Employed_35_T_44","Male_Employed_45_T_54","Female_Employed_45_T_54","Male_Employed_55_T_59","Female_Employed_55_T_59","Male_Employed_60_T_61","Female_Employed_60_T_61","Male_Employed_62_T_64","Female_Employed_62_T_64","Male_Employed_65_T_69","Female_Employed_65_T_69","Male_Employed_70_T_74","Female_Employed_70_T_74","Male_Employed_75_or_more","Female_Employed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Employed_16_T_19","Employed_20_T_21","Employed_22_T_24","Employed_25_T_29","Employed_30_T_34","Employed_35_T_44","Employed_45_T_54","Employed_55_T_59","Employed_60_T_61","Employed_62_T_64","Employed_65_T_69","Employed_70_T_74","Employed_75_or_more","Year"
"Sumner County, Tennessee","1641","1392","1320","1302","1923","1765","3684","3115","4062","3492","10014","8349","9783","8719","3823","3182","1190","841","1249","761","907","755","405","318","248","259","47","165","47165","3033","2622","3688","6799","7554","18363","18502","7005","2031","2010","1662","723","507","2010"
"Tipton County, Tennessee","507","611","552","565","818","525","1274","1063","1262","1219","3493","3050","3300","3141","1301","1177","338","385","423","361","291","254","135","115","176","4","47","167","47167","1118","1117","1343","2337","2481","6543","6441","2478","723","784","545","250","180","2010"
"Trousdale County, Tennessee","267","118","88","42","0","119","162","161","148","164","387","370","430","441","155","194","38","9","126","91","82","39","0","0","5","0","47","169","47169","385","130","119","323","312","757","871","349","47","217","121","0","5","2010"
"Unicoi County, Tennessee","119","135","122","22","193","192","346","282","430","420","987","957","943","879","475","358","115","189","29","153","172","57","34","0","49","0","47","171","47171","254","144","385","628","850","1944","1822","833","304","182","229","34","49","2010"
"Union County, Tennessee","162","190","131","238","223","113","467","259","471","452","942","691","1101","866","395","238","90","48","137","128","66","83","67","11","7","19","47","173","47173","352","369","336","726","923","1633","1967","633","138","265","149","78","26","2010"
"Van Buren County, Tennessee","42","73","27","83","67","42","51","32","168","30","285","195","277","299","99","183","56","36","37","20","42","9","0","9","0","8","47","175","47175","115","110","109","83","198","480","576","282","92","57","51","9","8","2010"
"Warren County, Tennessee","315","238","378","263","432","401","899","591","1095","477","2269","1651","2151","1953","719","635","229","235","333","257","261","198","77","98","80","59","47","177","47177","553","641","833","1490","1572","3920","4104","1354","464","590","459","175","139","2010"
"Washington County, Tennessee","1280","1415","1063","1147","1759","1982","2851","2718","3190","2462","6821","5675","6594","6016","2537","2332","762","729","733","620","872","513","289","231","213","125","47","179","47179","2695","2210","3741","5569","5652","12496","12610","4869","1491","1353","1385","520","338","2010"
"Wayne County, Tennessee","83","220","147","76","102","134","264","188","301","321","861","735","736","698","321","227","106","64","91","87","135","71","31","3","15","6","47","181","47181","303","223","236","452","622","1596","1434","548","170","178","206","34","21","2010"
"Weakley County, Tennessee","273","409","333","452","701","672","699","548","801","658","1665","1288","1621","1578","652","636","233","123","277","251","119","181","150","168","102","67","47","183","47183","682","785","1373","1247","1459","2953","3199","1288","356","528","300","318","169","2010"
"White County, Tennessee","268","237","127","150","247","281","542","407","500","400","1358","1132","1371","1299","552","517","275","140","173","235","146","141","123","63","74","82","47","185","47185","505","277","528","949","900","2490","2670","1069","415","408","287","186","156","2010"
"Williamson County, Tennessee","1616","1645","978","629","1362","1609","3105","3007","4306","3634","12903","9927","13219","11006","4396","3394","1734","1025","1627","1119","1042","762","427","356","236","146","47","187","47187","3261","1607","2971","6112","7940","22830","24225","7790","2759","2746","1804","783","382","2010"
"Wilson County, Tennessee","952","1303","651","814","1075","888","2456","2173","2887","2627","7543","6502","7420","6486","2770","2379","758","668","852","606","771","439","303","250","113","239","47","189","47189","2255","1465","1963","4629","5514","14045","13906","5149","1426","1458","1210","553","352","2010"
