"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Franklin County, Tennessee","1089","973","1388","1108","924","1282","807","843","787","739","397","384","449","415","827","730","1152","1246","1102","1089","1295","1210","1024","1057","1256","1356","1233","1360","1541","1649","712","585","662","913","721","719","615","715","1107","1102","829","744","354","540","289","680","47","051","47051","2020"
"Gibson County, Tennessee","1535","1519","1696","1772","1759","1487","981","1142","532","583","268","215","300","200","916","896","1445","1523","1306","1548","1684","1310","1263","1750","1466","1551","1535","1658","1717","1933","607","748","882","728","496","583","740","771","1078","1301","537","956","404","662","451","759","47","053","47053","2020"
"Giles County, Tennessee","988","760","598","748","1022","888","489","616","387","440","288","143","106","101","511","609","873","809","727","800","792","810","819","710","982","1019","930","1049","1088","1166","495","346","697","711","334","317","552","777","757","722","495","650","310","337","168","467","47","055","47055","2020"
"Grainger County, Tennessee","573","535","635","640","726","612","477","423","226","261","206","166","115","70","300","403","653","582","517","700","590","527","641","732","814","898","872","1000","839","755","351","500","560","548","546","390","336","412","604","664","440","574","267","249","85","254","47","057","47057","2020"
"Greene County, Tennessee","1692","1585","1704","1338","2202","2247","1325","1306","857","824","541","487","464","373","1082","1019","1982","1916","1770","1874","1856","1733","2145","2196","2292","2287","2363","2488","2322","2439","755","1134","1783","1572","815","886","1502","1301","1789","2484","1263","1440","748","1148","584","1164","47","059","47059","2020"
"Grundy County, Tennessee","395","373","431","380","448","370","281","253","143","123","105","135","106","138","174","83","403","402","340","360","394","345","373","438","458","418","446","438","489","496","141","131","282","295","197","205","217","300","333","411","234","406","129","194","96","62","47","061","47061","2020"
"Hamblen County, Tennessee","2019","1870","2350","1697","1943","2433","1303","1345","767","629","476","396","267","381","1164","1071","2037","1937","1773","1757","2153","2005","1664","2032","2296","2103","2261","2163","2084","2005","953","965","1007","1502","759","859","1219","853","1160","1854","792","1072","666","1298","496","643","47","063","47063","2020"
"Hamilton County, Tennessee","10688","10382","11017","9702","10737","10879","6437","6059","4321","4825","2656","2830","1945","2146","6585","6302","13598","14132","12521","12789","11601","11495","10728","11326","11267","11856","11268","11881","11543","12325","4415","5273","7006","8127","4122","4569","5518","5632","7646","9569","5238","6604","2620","4446","2717","5375","47","065","47065","2020"
"Hancock County, Tennessee","162","185","200","226","227","139","132","129","53","23","34","14","11","43","131","128","189","193","175","182","205","192","179","167","201","186","208","246","167","309","85","60","243","157","67","132","173","45","186","233","139","79","14","101","85","133","47","067","47067","2020"
"Hardeman County, Tennessee","643","608","655","559","631","780","444","427","338","148","299","174","284","155","456","436","1301","538","1239","595","1022","663","1003","719","959","619","921","745","808","658","368","283","474","732","400","315","359","345","524","764","352","481","216","307","207","293","47","069","47069","2020"
"Hardin County, Tennessee","768","559","545","665","800","829","570","459","236","223","168","438","31","35","481","289","776","752","602","611","588","743","782","677","840","902","869","835","1175","1047","349","456","288","467","271","368","659","473","650","904","497","723","414","396","128","327","47","071","47071","2020"
