State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Georgia,Domestic Only,Multiple modes & mail,thousand tons,2012,554.84487,5385.135178,7324.529054
Georgia,Domestic Only,Pipeline,thousand tons,2012,173.8638,32822.2382,21345.2063
Georgia,Domestic Only,Rail,thousand tons,2012,5372.8881,39025.9062,15938.828
Georgia,Domestic Only,Truck,thousand tons,2012,239915.5587,68418.09261,67807.30087
Georgia,Domestic Only,Water,thousand tons,2012,1821.5312,793.3927,0
Georgia,Export,Air (include truck-air),thousand tons,2012,0.006987,127.665796,63.003623
Georgia,Export,Multiple modes & mail,thousand tons,2012,1243.670656,939.674407,366.501715
Georgia,Export,Other and unknown,thousand tons,2012,62.7628,6.4464,4.983293
Georgia,Export,Pipeline,thousand tons,2012,93.2875,0,0
Georgia,Export,Rail,thousand tons,2012,455.4559,1173.048766,1507.628452
Georgia,Export,Truck,thousand tons,2012,10569.51356,4842.611239,3722.516605
Georgia,Export,Water,thousand tons,2012,132.385106,137.055108,27.537999
Georgia,Import,Air (include truck-air),thousand tons,2012,1.797074,40.590597,133.596012
Georgia,Import,Multiple modes & mail,thousand tons,2012,1402.804729,1684.708793,1854.687635
Georgia,Import,Other and unknown,thousand tons,2012,118.324315,14.547827,85.9735
Georgia,Import,Pipeline,thousand tons,2012,20.4325,0.0536,1341.4683
Georgia,Import,Rail,thousand tons,2012,183.7964,1335.273813,945.913093
Georgia,Import,Truck,thousand tons,2012,9952.529834,4253.033397,2639.151659
Georgia,Import,Water,thousand tons,2012,575.935633,829.262906,240.118171
Hawaii,Domestic Only,Air (include truck-air),thousand tons,2012,48.7507,95.9504,31.019
Hawaii,Domestic Only,Multiple modes & mail,thousand tons,2012,547.0436,1485.0296,1034.5626
Hawaii,Domestic Only,Pipeline,thousand tons,2012,9061.9607,0,0
Hawaii,Domestic Only,Truck,thousand tons,2012,24240.82452,0,0
Hawaii,Domestic Only,Water,thousand tons,2012,318.7257,1724.3222,0
Hawaii,Export,Air (include truck-air),thousand tons,2012,0.679603,20.36615,1.267247
Hawaii,Export,Multiple modes & mail,thousand tons,2012,143.874752,3.0841,22.518009
Hawaii,Export,Other and unknown,thousand tons,2012,0.6056,275.3598,0
Hawaii,Export,Pipeline,thousand tons,2012,54.3832,0,0
Hawaii,Export,Truck,thousand tons,2012,242.7111,0,0
Hawaii,Export,Water,thousand tons,2012,50.588245,2.504501,0.050492
Hawaii,Import,Air (include truck-air),thousand tons,2012,0.040854,1.447801,0.330558
Hawaii,Import,Multiple modes & mail,thousand tons,2012,28.543338,29.597686,21.8603
Hawaii,Import,No domestic mode,thousand tons,2012,6081.6046,0,0
Hawaii,Import,Other and unknown,thousand tons,2012,5.0169,12.8598,0
Hawaii,Import,Pipeline,thousand tons,2012,115.943036,0,0
Hawaii,Import,Truck,thousand tons,2012,760.930448,0,0
Hawaii,Import,Water,thousand tons,2012,988.886749,0.000013,0.160982
Idaho,Domestic Only,Air (include truck-air),thousand tons,2012,0,5.825904,4.166801
Idaho,Domestic Only,Multiple modes & mail,thousand tons,2012,1326.7553,1471.168159,1498.8317
Idaho,Domestic Only,Pipeline,thousand tons,2012,4.8247,2352.4614,12499.3253
Idaho,Domestic Only,Rail,thousand tons,2012,1074.8862,3727.2285,6510.2121
Idaho,Domestic Only,Truck,thousand tons,2012,59879.78204,18075.05561,15878.12817
Idaho,Export,Air (include truck-air),thousand tons,2012,0.0137,0.3187,7.278493
Idaho,Export,Multiple modes & mail,thousand tons,2012,0,0,89.394401
Idaho,Export,Other and unknown,thousand tons,2012,0.0034,0.0881,18.714
Idaho,Export,Rail,thousand tons,2012,0,0,660.506026
Idaho,Export,Truck,thousand tons,2012,0.0073,0,1179.115951
Idaho,Export,Water,thousand tons,2012,0,0,0.002202
Idaho,Import,Air (include truck-air),thousand tons,2012,0.0064,6.337101,0.003818
Idaho,Import,Multiple modes & mail,thousand tons,2012,0,82.294238,0.3376
Idaho,Import,Other and unknown,thousand tons,2012,0,0.1099,0.1134
Idaho,Import,Pipeline,thousand tons,2012,12232.8093,0,2197.1206
Idaho,Import,Rail,thousand tons,2012,1139.8623,302.810416,4537.656474
Idaho,Import,Truck,thousand tons,2012,67.4737,416.702815,728.188521
Idaho,Import,Water,thousand tons,2012,0,0.000015,0
Illinois,Domestic Only,Air (include truck-air),thousand tons,2012,0.377001,48.141201,100.117709
Illinois,Domestic Only,Multiple modes & mail,thousand tons,2012,7613.134539,8453.756357,15110.24712
Illinois,Domestic Only,Pipeline,thousand tons,2012,27185.9259,91663.6471,67257.8009
Illinois,Domestic Only,Rail,thousand tons,2012,38522.3828,98994.8617,64875.8601
Illinois,Domestic Only,Truck,thousand tons,2012,393824.4902,120839.4325,114591.1121
Illinois,Domestic Only,Water,thousand tons,2012,3874.9304,3552.8651,14389.7856
Illinois,Export,Air (include truck-air),thousand tons,2012,0.127,362.134765,108.931658
Illinois,Export,Multiple modes & mail,thousand tons,2012,0.024705,1.958588,10119.70451
Illinois,Export,Other and unknown,thousand tons,2012,0.1054,13.4863,20.638
Illinois,Export,Pipeline,thousand tons,2012,0.025961,0,3710.119939
Illinois,Export,Rail,thousand tons,2012,0.020152,8.463707,9853.176036
Illinois,Export,Truck,thousand tons,2012,178.898456,28.471379,10420.89041
Illinois,Export,Water,thousand tons,2012,28.150397,115.219877,116.284714
Illinois,Import,Air (include truck-air),thousand tons,2012,6.884198,40.165531,375.69286
Illinois,Import,Multiple modes & mail,thousand tons,2012,73.318875,2772.198213,47.001537
Illinois,Import,No domestic mode,thousand tons,2012,7685.1458,0,0
Illinois,Import,Other and unknown,thousand tons,2012,51.626119,286.0334,28.407251
Illinois,Import,Pipeline,thousand tons,2012,0.017228,30812.78094,0
Illinois,Import,Rail,thousand tons,2012,154.767146,12570.99459,3043.184248
Illinois,Import,Truck,thousand tons,2012,3069.570181,5881.828129,1013.339386
Illinois,Import,Water,thousand tons,2012,2238.324422,99.491311,2107.003621
Indiana,Domestic Only,Air (include truck-air),thousand tons,2012,0.2335,26.7215,24.277002
Indiana,Domestic Only,Multiple modes & mail,thousand tons,2012,1205.740225,15901.99303,7014.84191
Indiana,Domestic Only,Pipeline,thousand tons,2012,19022.7628,70718.1841,41295.5932
Indiana,Domestic Only,Rail,thousand tons,2012,16433.9861,42040.7425,23907.7913
Indiana,Domestic Only,Truck,thousand tons,2012,203029.2268,90748.26742,93060.50742
Indiana,Domestic Only,Water,thousand tons,2012,2343.6371,8187.8743,7164.0692
Indiana,Export,Air (include truck-air),thousand tons,2012,0.0305,2.181595,99.024747
Indiana,Export,Multiple modes & mail,thousand tons,2012,17.741101,319.786506,804.359624
Indiana,Export,Other and unknown,thousand tons,2012,4.0968,0.0103,7.8398
Indiana,Export,Rail,thousand tons,2012,0,6.7515,1400.376843
Indiana,Export,Truck,thousand tons,2012,1.575072,0.015,3456.535696
Indiana,Export,Water,thousand tons,2012,0,54.411299,16.190033
Indiana,Import,Air (include truck-air),thousand tons,2012,1.492076,63.772481,1.0005
Indiana,Import,Multiple modes & mail,thousand tons,2012,0.099997,941.514174,257.1195
Indiana,Import,Other and unknown,thousand tons,2012,3.893748,25.818608,0.0281
Indiana,Import,Pipeline,thousand tons,2012,0,13200.3668,0
Indiana,Import,Rail,thousand tons,2012,0.0019,5916.118955,0.1917
Indiana,Import,Truck,thousand tons,2012,12.764502,3438.910393,0.2235
Indiana,Import,Water,thousand tons,2012,0.0002,217.257509,638.2214
Iowa,Domestic Only,Air (include truck-air),thousand tons,2012,0,35.5095,11.1042
Iowa,Domestic Only,Multiple modes & mail,thousand tons,2012,736.5748,1473.54639,14076.42664
Iowa,Domestic Only,Pipeline,thousand tons,2012,137.8194,41197.6479,35413.0778
Iowa,Domestic Only,Rail,thousand tons,2012,7052.8755,41070.6567,29701.674
Iowa,Domestic Only,Truck,thousand tons,2012,235714.1386,46937.04954,64948.69278
Iowa,Domestic Only,Water,thousand tons,2012,483.887,180.77,2885.7754
Iowa,Export,Air (include truck-air),thousand tons,2012,0.0014,0.0203,20.597017
Iowa,Export,Multiple modes & mail,thousand tons,2012,0,0,769.336931
Iowa,Export,Other and unknown,thousand tons,2012,0,0,1.207
Iowa,Export,Rail,thousand tons,2012,0,0,4361.169757
Iowa,Export,Truck,thousand tons,2012,0.0246,0,2065.809808
Iowa,Export,Water,thousand tons,2012,0,0,44.932232
Iowa,Import,Air (include truck-air),thousand tons,2012,0.0152,21.277899,0.1257
Iowa,Import,Multiple modes & mail,thousand tons,2012,0.0098,347.406174,0
Iowa,Import,Other and unknown,thousand tons,2012,0.1188,27.098525,0.0074
Iowa,Import,Pipeline,thousand tons,2012,0,8263.193,0
Iowa,Import,Rail,thousand tons,2012,0,2317.198378,0
Iowa,Import,Truck,thousand tons,2012,0.2018,880.014293,0
Iowa,Import,Water,thousand tons,2012,0,258.148684,0
Kansas,Domestic Only,Air (include truck-air),thousand tons,2012,0.2358,21.4759,23.981402
Kansas,Domestic Only,Multiple modes & mail,thousand tons,2012,77.90293,2056.698653,10931.61102
Kansas,Domestic Only,Pipeline,thousand tons,2012,6365.5558,47100.9244,36673.1681
Kansas,Domestic Only,Rail,thousand tons,2012,1188.6325,20878.4492,28456.0384
Kansas,Domestic Only,Truck,thousand tons,2012,147943.7619,51105.93942,47617.89482
Kansas,Domestic Only,Water,thousand tons,2012,0,0,9.2784
Kansas,Export,Air (include truck-air),thousand tons,2012,0.2862,0.0895,15.863082
Kansas,Export,Multiple modes & mail,thousand tons,2012,0,0,481.310915
Kansas,Export,Other and unknown,thousand tons,2012,8.6177,0,3.3838
Kansas,Export,Pipeline,thousand tons,2012,0,0,1.85918
Kansas,Export,Rail,thousand tons,2012,0,0,5288.5619
Kansas,Export,Truck,thousand tons,2012,0.1415,0,1527.638358
Kansas,Export,Water,thousand tons,2012,0,0,0.002339
Kansas,Import,Air (include truck-air),thousand tons,2012,0.2854,15.130744,0.0645
Kansas,Import,Multiple modes & mail,thousand tons,2012,0,617.412471,0
Kansas,Import,Other and unknown,thousand tons,2012,0.056,27.2663,0.0005
Kansas,Import,Pipeline,thousand tons,2012,0,4535.2566,0
Kansas,Import,Rail,thousand tons,2012,0,690.382172,0
Kansas,Import,Truck,thousand tons,2012,0.4932,677.528473,0
Kansas,Import,Water,thousand tons,2012,0,0.000067,0
Kentucky,Domestic Only,Air (include truck-air),thousand tons,2012,0,15.227402,47.382
Kentucky,Domestic Only,Multiple modes & mail,thousand tons,2012,450.649,5234.448534,8439.57171
Kentucky,Domestic Only,Pipeline,thousand tons,2012,5174.9242,42821.8102,42944.2569
Kentucky,Domestic Only,Rail,thousand tons,2012,7627.924,22826.4969,45678.5895
Kentucky,Domestic Only,Truck,thousand tons,2012,126897.7357,59383.08619,52521.7876
Kentucky,Domestic Only,Water,thousand tons,2012,25867.8976,9049.0131,33583.8418
Kentucky,Export,Air (include truck-air),thousand tons,2012,4.361331,226.950642,47.285739
Kentucky,Export,Multiple modes & mail,thousand tons,2012,0.0012,0.002031,504.336208
Kentucky,Export,Other and unknown,thousand tons,2012,0.0086,0.0684,5.4401
Kentucky,Export,Rail,thousand tons,2012,0,0,1560.215348
Kentucky,Export,Truck,thousand tons,2012,4.698174,7.572469,2493.679116
Kentucky,Export,Water,thousand tons,2012,0,0,1.085999
Kentucky,Import,Air (include truck-air),thousand tons,2012,9.05827,46.120909,224.126534
Kentucky,Import,Multiple modes & mail,thousand tons,2012,0.0272,1018.041545,0.000373
Kentucky,Import,Other and unknown,thousand tons,2012,1.6143,43.4108,1.35
Kentucky,Import,Pipeline,thousand tons,2012,0,3703.689,0
Kentucky,Import,Rail,thousand tons,2012,0,1528.619128,0
Kentucky,Import,Truck,thousand tons,2012,26.758439,1661.961841,12.44747
Kentucky,Import,Water,thousand tons,2012,0,96.374991,0
Louisiana,Domestic Only,Air (include truck-air),thousand tons,2012,0.0001,15.295003,7.4346
Louisiana,Domestic Only,Multiple modes & mail,thousand tons,2012,3630.6727,12687.1113,6365.091767
Louisiana,Domestic Only,Pipeline,thousand tons,2012,139256.5109,93430.4158,120135.0352
Louisiana,Domestic Only,Rail,thousand tons,2012,4025.8984,27728.5126,36933.6694
Louisiana,Domestic Only,Truck,thousand tons,2012,129229.1235,37477.23256,48297.55076
Louisiana,Domestic Only,Water,thousand tons,2012,43899.0405,49168.4306,62596.7708
Louisiana,Export,Air (include truck-air),thousand tons,2012,0.159968,2.229947,17.17764
Louisiana,Export,Multiple modes & mail,thousand tons,2012,8798.984668,11747.20952,425.321417
Louisiana,Export,Other and unknown,thousand tons,2012,0.314837,0.729919,1.6575
