State,Commodity,Field,Value,Unit,Year
California,Gravel,tmiles_out,9478.585048,million ton-miles,2012
California,Gravel,tmiles_in,14868.28033,million ton-miles,2012
California,Waste/scrap,tmiles_within,5791.654219,million ton-miles,2012
California,Waste/scrap,tmiles_out,8832.041425,million ton-miles,2012
California,Waste/scrap,tmiles_in,13090.767,million ton-miles,2012
California,Mixed freight,tmiles_within,4812.721598,million ton-miles,2012
California,Mixed freight,tmiles_out,8228.198289,million ton-miles,2012
California,Mixed freight,tmiles_in,12996.49601,million ton-miles,2012
California,Natural sands,tmiles_within,4472.59742,million ton-miles,2012
California,Natural sands,tmiles_out,7768.754617,million ton-miles,2012
California,Natural sands,tmiles_in,11269.37085,million ton-miles,2012
California,Crude petroleum,tmiles_within,4413.1148,million ton-miles,2012
California,Crude petroleum,tmiles_out,7298.442414,million ton-miles,2012
California,Crude petroleum,tmiles_in,10111.80321,million ton-miles,2012
Colorado,Coal-n.e.c.,tmiles_within,3107.1661,million ton-miles,2012
Colorado,Coal-n.e.c.,tmiles_out,24045.46083,million ton-miles,2012
Colorado,Coal-n.e.c.,tmiles_in,18679.72142,million ton-miles,2012
Colorado,Coal,tmiles_within,2513.632,million ton-miles,2012
Colorado,Coal,tmiles_out,17144.7914,million ton-miles,2012
Colorado,Coal,tmiles_in,8998.4602,million ton-miles,2012
Colorado,Animal feed,tmiles_within,1171.632967,million ton-miles,2012
Colorado,Animal feed,tmiles_out,4070.61063,million ton-miles,2012
Colorado,Animal feed,tmiles_in,3027.177334,million ton-miles,2012
Colorado,Nonmetal min. prods.,tmiles_within,1156.545856,million ton-miles,2012
Colorado,Nonmetal min. prods.,tmiles_out,3147.9607,million ton-miles,2012
Colorado,Nonmetal min. prods.,tmiles_in,2815.506145,million ton-miles,2012
Colorado,Gravel,tmiles_within,1028.240202,million ton-miles,2012
Colorado,Gravel,tmiles_out,2477.6088,million ton-miles,2012
Colorado,Gravel,tmiles_in,2170.194067,million ton-miles,2012
Colorado,Cereal grains,tmiles_within,958.17911,million ton-miles,2012
Colorado,Cereal grains,tmiles_out,2013.8802,million ton-miles,2012
Colorado,Cereal grains,tmiles_in,1659.80224,million ton-miles,2012
Colorado,Mixed freight,tmiles_within,476.030823,million ton-miles,2012
Colorado,Mixed freight,tmiles_out,1936.395619,million ton-miles,2012
Colorado,Mixed freight,tmiles_in,1516.276321,million ton-miles,2012
Colorado,Waste/scrap,tmiles_within,405.371229,million ton-miles,2012
Colorado,Waste/scrap,tmiles_out,1390.870443,million ton-miles,2012
Colorado,Waste/scrap,tmiles_in,1510.036941,million ton-miles,2012
Colorado,Natural sands,tmiles_within,362.2189,million ton-miles,2012
Colorado,Natural sands,tmiles_out,1340.027986,million ton-miles,2012
Colorado,Natural sands,tmiles_in,1243.103837,million ton-miles,2012
Colorado,Gasoline,tmiles_within,357.708709,million ton-miles,2012
Colorado,Gasoline,tmiles_out,1273.088205,million ton-miles,2012
Colorado,Gasoline,tmiles_in,1202.58751,million ton-miles,2012
Connecticut,Fuel oils,tmiles_within,524.4511,million ton-miles,2012
Connecticut,Fuel oils,tmiles_out,9232.891654,million ton-miles,2012
Connecticut,Fuel oils,tmiles_in,2528.158753,million ton-miles,2012
Connecticut,Gravel,tmiles_within,324.3663,million ton-miles,2012
Connecticut,Gravel,tmiles_out,1724.243587,million ton-miles,2012
Connecticut,Gravel,tmiles_in,2423.28032,million ton-miles,2012
Connecticut,Coal-n.e.c.,tmiles_within,269.0484,million ton-miles,2012
Connecticut,Coal-n.e.c.,tmiles_out,1521.193123,million ton-miles,2012
Connecticut,Coal-n.e.c.,tmiles_in,2254.68172,million ton-miles,2012
Connecticut,Nonmetal min. prods.,tmiles_within,181.409924,million ton-miles,2012
Connecticut,Nonmetal min. prods.,tmiles_out,1303.570056,million ton-miles,2012
Connecticut,Nonmetal min. prods.,tmiles_in,2107.397609,million ton-miles,2012
Connecticut,Waste/scrap,tmiles_within,144.946772,million ton-miles,2012
Connecticut,Waste/scrap,tmiles_out,1119.842086,million ton-miles,2012
Connecticut,Waste/scrap,tmiles_in,944.591914,million ton-miles,2012
Connecticut,Gasoline,tmiles_within,130.9837,million ton-miles,2012
Connecticut,Gasoline,tmiles_out,1047.724572,million ton-miles,2012
Connecticut,Gasoline,tmiles_in,807.039619,million ton-miles,2012
Connecticut,Natural sands,tmiles_within,88.9729,million ton-miles,2012
Connecticut,Natural sands,tmiles_out,994.642098,million ton-miles,2012
Connecticut,Natural sands,tmiles_in,805.5805,million ton-miles,2012
Connecticut,Mixed freight,tmiles_within,82.732942,million ton-miles,2012
Connecticut,Mixed freight,tmiles_out,855.841427,million ton-miles,2012
Connecticut,Mixed freight,tmiles_in,687.428998,million ton-miles,2012
Connecticut,Base metals,tmiles_within,50.314353,million ton-miles,2012
Connecticut,Base metals,tmiles_out,820.130807,million ton-miles,2012
Connecticut,Base metals,tmiles_in,664.255123,million ton-miles,2012
Connecticut,Misc. mfg. prods.,tmiles_within,39.708051,million ton-miles,2012
Connecticut,Misc. mfg. prods.,tmiles_out,744.637088,million ton-miles,2012
Connecticut,Misc. mfg. prods.,tmiles_in,554.169538,million ton-miles,2012
Delaware,Fuel oils,tmiles_within,80.2961,million ton-miles,2012
Delaware,Fuel oils,tmiles_out,548.890744,million ton-miles,2012
Delaware,Fuel oils,tmiles_in,2726.141,million ton-miles,2012
Delaware,Gasoline,tmiles_within,78.9048,million ton-miles,2012
Delaware,Gasoline,tmiles_out,463.212715,million ton-miles,2012
Delaware,Gasoline,tmiles_in,889.449788,million ton-miles,2012
Delaware,Cereal grains,tmiles_within,63.606614,million ton-miles,2012
Delaware,Cereal grains,tmiles_out,359.870344,million ton-miles,2012
Delaware,Cereal grains,tmiles_in,471.5747,million ton-miles,2012
Delaware,Gravel,tmiles_within,47.9476,million ton-miles,2012
Delaware,Gravel,tmiles_out,274.470013,million ton-miles,2012
Delaware,Gravel,tmiles_in,468.754474,million ton-miles,2012
Delaware,Animal feed,tmiles_within,47.920375,million ton-miles,2012
Delaware,Animal feed,tmiles_out,212.505665,million ton-miles,2012
Delaware,Animal feed,tmiles_in,436.241991,million ton-miles,2012
Delaware,Waste/scrap,tmiles_within,41.1337,million ton-miles,2012
Delaware,Waste/scrap,tmiles_out,193.519708,million ton-miles,2012
Delaware,Waste/scrap,tmiles_in,416.85954,million ton-miles,2012
Delaware,Nonmetal min. prods.,tmiles_within,36.936838,million ton-miles,2012
Delaware,Nonmetal min. prods.,tmiles_out,179.783568,million ton-miles,2012
Delaware,Nonmetal min. prods.,tmiles_in,399.358924,million ton-miles,2012
Delaware,Natural sands,tmiles_within,33.3169,million ton-miles,2012
Delaware,Natural sands,tmiles_out,170.695362,million ton-miles,2012
Delaware,Natural sands,tmiles_in,310.031989,million ton-miles,2012
Delaware,Fertilizers,tmiles_within,31.875018,million ton-miles,2012
Delaware,Fertilizers,tmiles_out,160.979744,million ton-miles,2012
